Full-Name,Type,Index-Offset,Index-Group,Subitems
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,BOOL,0x16c4a8,0xf020,0
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,BOOL,0x16c49c,0xf020,0
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,BOOL,0x16c508,0xf020,0
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,BOOL,0x16c4f8,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,INT,0x16c484,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,INT,0x16c486,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,INT,0x16c482,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,BOOL,0x16c480,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,BOOL,0x16c47f,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,BOOL,0x16c47c,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,BOOL,0x16c47d,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,BOOL,0x16c47e,0xf030,0
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,INT,0x16c470,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,INT,0x16c472,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,INT,0x16c46e,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,BOOL,0x16c46c,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,BOOL,0x16c46b,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,BOOL,0x16c468,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,BOOL,0x16c469,0xf020,0
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,BOOL,0x16c46a,0xf030,0
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,BOOL,0x16c4e8,0xf020,0
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,BOOL,0x16c493,0xf020,0
MAIN.m_container.m_LSC.m_Switch.DI_Extended,BOOL,0x16c490,0xf020,0
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,BOOL,0x16c491,0xf020,0
MAIN.m_container.m_LSC.m_Switch.DO_Extend,BOOL,0x16c492,0xf030,0
MAIN.m_container.m_LSC.Motor.AI_Position,UINT,0x16c454,0xf020,0
MAIN.m_container.m_LSC.Motor.AI_Speed,UDINT,0x16c458,0xf020,0
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,BOOL,0x16c45c,0xf030,0
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,BOOL,0x16c45d,0xf030,0
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,BOOL,0x16c538,0xf020,0
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,BOOL,0x16c52c,0xf020,0
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,BOOL,0x16c547,0xf020,0
MAIN.m_container.m_PAC.m_Switch.DI_Extended,BOOL,0x16c544,0xf020,0
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,BOOL,0x16c545,0xf020,0
MAIN.m_container.m_PAC.m_Switch.DO_Extend,BOOL,0x16c546,0xf030,0
MAIN.m_container.m_PAC.Motor.AI_Position,UINT,0x16c518,0xf020,0
MAIN.m_container.m_PAC.Motor.AI_Speed,UDINT,0x16c51c,0xf020,0
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,BOOL,0x16c520,0xf030,0
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,BOOL,0x16c521,0xf030,0
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,BOOL,0x16c58c,0xf020,0
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,BOOL,0x16c598,0xf020,0
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,BOOL,0x16c5a4,0xf020,0
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition4.DI_WPDetected,BOOL,0x16c5b0,0xf020,0
MAIN.m_container.m_PicAlpha.Motor.AI_Position,UINT,0x16c558,0xf020,0
MAIN.m_container.m_PicAlpha.Motor.AI_Speed,UDINT,0x16c55c,0xf020,0
MAIN.m_container.m_PicAlpha.Motor.DO_TurnClockwise,BOOL,0x16c560,0xf030,0
MAIN.m_container.m_PicAlpha.Motor.DO_TurnCounterclockwise,BOOL,0x16c561,0xf030,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_FlowPressure,INT,0x16c57c,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PositionTransmitter,INT,0x16c57e,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PressureSensor,INT,0x16c57a,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryFlowPressure,BOOL,0x16c578,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryPressure,BOOL,0x16c577,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Extended,BOOL,0x16c574,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Retracted,BOOL,0x16c575,0xf020,0
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DO_Extend,BOOL,0x16c576,0xf030,0
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DI_TakenIn,BOOL,0x16c568,0xf020,0
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DO_VacuumOn,BOOL,0x16c569,0xf030,0
MAIN.m_container.m_PicAlpha.o_VacuumGripper.VacuumHit,BOOL,0x16c56a,0xf030,0
MAIN.m_container.m_RFC.m_PresencesensorEnd.DI_WPDetected,BOOL,0x16c644,0xf020,0
MAIN.m_container.m_RFC.m_PresencesensorStart.DI_WPDetected,BOOL,0x16c638,0xf020,0
MAIN.m_container.m_RFC.m_Switch.DI_BoundaryPressure,BOOL,0x16c653,0xf020,0
MAIN.m_container.m_RFC.m_Switch.DI_Extended,BOOL,0x16c650,0xf020,0
MAIN.m_container.m_RFC.m_Switch.DI_Retracted,BOOL,0x16c651,0xf020,0
MAIN.m_container.m_RFC.m_Switch.DO_Extend,BOOL,0x16c652,0xf030,0
MAIN.m_container.m_RFC.Motor.AI_Position,UINT,0x16c624,0xf020,0
MAIN.m_container.m_RFC.Motor.AI_Speed,UDINT,0x16c628,0xf020,0
MAIN.m_container.m_RFC.Motor.DO_TurnClockwise,BOOL,0x16c62c,0xf030,0
MAIN.m_container.m_RFC.Motor.DO_TurnCounterclockwise,BOOL,0x16c62d,0xf030,0
MAIN.m_container.m_SSC.m_Inductivesensor.DI_WPMetallic,BOOL,0x16c5f8,0xf020,0
MAIN.m_container.m_SSC.m_Opticalsensor.DI_WPLight,BOOL,0x16c5ec,0xf020,0
MAIN.m_container.m_SSC.m_PresencesensorEnd.DI_WPDetected,BOOL,0x16c5e0,0xf020,0
MAIN.m_container.m_SSC.m_PresencesensorStart.DI_WPDetected,BOOL,0x16c5d4,0xf020,0
MAIN.m_container.m_SSC.m_Ramp.m_presenceSensorRampFull.DI_WPDetected,BOOL,0x16c608,0xf020,0
MAIN.m_container.m_SSC.m_Switch.DI_BoundaryPressure,BOOL,0x16c617,0xf020,0
