BlockPath,ItemID
Scenario_13_CoDeSys/Inputs/OPC Read2,"PLC_GW3.Application.GVL.Stempel_Druck_Soll, PLC_GW3.Application.GVL.Stempelschlitten.QX_einfahren, PLC_GW3.Application.GVL.Stempelschlitten.QX_ausfahren, PLC_GW3.Application.GVL.Stempelzylinder.QX_einfahren, PLC_GW3.Application.GVL.Stempelzylinder.QX_ausfahren, PLC_GW3.Application.GVL.Band_vor, PLC_GW3.Application.GVL.Band_zurueck, PLC_GW3.Application.GVL.Sortierzylinder1.QX_einfahren, PLC_GW3.Application.GVL.Sortierzylinder1.QX_ausfahren, PLC_GW3.Application.GVL.Sortierzylinder2.QX_einfahren, PLC_GW3.Application.GVL.Sortierzylinder2.QX_ausfahren, PLC_GW3.Application.GVL.Vereinzelungszylinder.QX_einfahren, PLC_GW3.Application.GVL.Vereinzelungszylinder.QX_ausfahren, PLC_GW3.Application.GVL.Kran_Sauger_an, PLC_GW3.Application.GVL.Kran_Sauger_aus, PLC_GW3.Application.GVL.Kran_drehen_links, PLC_GW3.Application.GVL.Kran_drehen_rechts, PLC_GW3.Application.GVL.Kranzylinder.QX_einfahren, PLC_GW3.Application.GVL.Kranzylinder.QX_ausfahren"
Scenario_13_CoDeSys/Inputs/OPC Read3,"PLC_GW3.Application.GVL.Lager_Lampe_Gruen, PLC_GW3.Application.GVL.Band_Lampe_Gruen, PLC_GW3.Application.GVL.Stempel_Lampe_Gruen"
