Name,Type,Index Group,Index Offset,Comment
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,INT,61472,1451670,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,INT,61472,1451666,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,BOOL,61472,1451664,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,BOOL,61472,1451663,NOT USED BUT USABLE
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,BOOL,61472,1451660,Hardware
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,BOOL,61472,1451661,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,BOOL,61488,1451662,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,INT,61472,1451648,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,INT,61472,1451650,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,INT,61472,1451646,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,BOOL,61472,1451644,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,BOOL,61472,1451643,NOT USED BUT USABLE
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,BOOL,61472,1451640,Hardware
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,BOOL,61472,1451641,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,BOOL,61488,1451642,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,BOOL,61472,1451768,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,BOOL,61472,1451683,NOT USED BUT USABLE
MAIN.m_container.m_LSC.m_Switch.DI_Extended,BOOL,61472,1451680,Hardware
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,BOOL,61472,1451681,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,BOOL,61488,1451682,
MAIN.m_container.m_LSC.Motor.AI_Position,UINT,61472,1451620,
MAIN.m_container.m_LSC.Motor.AI_Speed,UDINT,61472,1451624,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,BOOL,61488,1451628,Hardware
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,BOOL,61488,1451629,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,BOOL,61472,1451848,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,BOOL,61472,1451836,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,BOOL,61472,1451863,NOT USED BUT USABLE
MAIN.m_container.m_PAC.m_Switch.DI_Extended,BOOL,61472,1451860,Hardware
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,BOOL,61472,1451861,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,BOOL,61488,1451862,
MAIN.m_container.m_PAC.Motor.AI_Position,UINT,61472,1451816,
MAIN.m_container.m_PAC.Motor.AI_Speed,UDINT,61472,1451820,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,BOOL,61488,1451824,Hardware
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,BOOL,61488,1451825,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,BOOL,61472,1451932,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,BOOL,61472,1451944,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,BOOL,61472,1451956,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition4.DI_WPDetected,BOOL,61472,1451968,
MAIN.m_container.m_PicAlpha.Motor.AI_Position,UINT,61472,1451880,
MAIN.m_container.m_PicAlpha.Motor.AI_Speed,UDINT,61472,1451884,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnClockwise,BOOL,61488,1451888,Hardware
MAIN.m_container.m_PicAlpha.Motor.DO_TurnCounterclockwise,BOOL,61488,1451889,
