typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
Property,Check_Stack_WPType,,,,,,_hASngNgREeaLleG51tH3Eg,
Property,Check_LargeSortingConveyor_IsSorting,,Boolean,,,,_lOg7cNgREeaLleG51tH3Eg,
Property,Check_LargeSortingConveyor_AutomaticExecuteCompleted,,Boolean,,,,_n4o_YNgREeaLleG51tH3Eg,
Property,Check_Stamp_IsStamping,,Boolean,,,,_rR72cNgREeaLleG51tH3Eg,
Property,Check_Stamp_WPAvailable,,Boolean,,,,_ts8gUNgREeaLleG51tH3Eg,
Property,Check_Stamp_AutomaticExecuteCompleted,,Boolean,,,,_xWZ6UNgREeaLleG51tH3Eg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_MoveToConveyor,,,,,,_WWsH0BHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_MoveToStack,,,,,,_YcA1kBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_MoveToStamp,,,,,,_aKd7cBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_PickUpWP,,,,,,_N0_MgBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_PutDownWP,,,,,,_PlTTkBHdEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_Init,,,,,,_2kTUQBHcEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_AutomaticExecute,,,,,,_-RAg0EgMEeavyPrpKniqtA,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_EmergencyStop,,,,,,_RL298EmREeaPbYa44WUTPg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_PPUTocrane,,,,,,,
Property,name,crane,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_MFGgEBHZEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_PPUTocrane,_2ub-IBHQEeaen93uATCTQQ,,,,,,_uUK40BHWEeaE9dGXaplL2g
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_Stamp,,,,,,_-GUi8BHWEeaE9dGXaplL2g,
SubmodelElementCollection,Properties,,,,,,,
Property,panel,,,,,,_-nJWExHsEeaIeI6F5gdpJg,
Property,pressureSensor,,,,,,_B-d3MxHtEeaIeI6F5gdpJg,
Property,propValve,,,,,,_IvzoIxHtEeaIeI6F5gdpJg,
Property,WPAvailable,,,,,,_M2eikxHtEeaIeI6F5gdpJg,
Property,stampingCylinder,,,,,,_RAivQxHtEeaIeI6F5gdpJg,
Property,slidingCylinder,,,,,,_UUQiwxHtEeaIeI6F5gdpJg,
Property,StartButton,,Boolean,,,,_D1jGcNgjEeaLleG51tH3Eg,
Property,InitCompleted,,Boolean,,,,_WvcTIBHqEeaIeI6F5gdpJg,
Property,AutomaticExecuteCompleted,,Boolean,,,,_Oet-EGRzEeaP7aiWefDRgg,
Property,EmergencyStop,,Boolean,,,,_GVodkNgjEeaLleG51tH3Eg,
Property,SoftwareEmergency,,Boolean,,,,_-nz5EDkrEeaKtZr8UL9QRw,
Property,EmergencyHandled,,Boolean,,,,_bxWJYGSBEeaP7aiWefDRgg,
Property,IsSamping,,Boolean,,,,_ejbM0BHqEeaIeI6F5gdpJg,
