xmi:type,name,xmi:id,description
Operation,ACTAutomaticExecute,_-RAg0EgMEeavyPrpKniqtA,ACT_AutomaticExecute
Operation,ACTEmergencyStop,_RL298EmREeaPbYa44WUTPg,ACT_EmergencyStop
Class,LargeSortingConveyor,_RehDsBH4EeaIeI6F5gdpJg,LargeSortingConveyor
Property,panel,_p5ujcxH6EeaIeI6F5gdpJg,panel
Property,motor,_k0wNULe0EeaN5KNu953fkQ,motor
Property,seperator1,_61L_AxH6EeaIeI6F5gdpJg,seperator1
Property,seperator2,__DaS8xH6EeaIeI6F5gdpJg,seperator2
Property,psBeginning,_TS5d4KdSEeaW3-nj19_RIA,psBeginning
Property,optRamp1,_5NHYgxH7EeaIeI6F5gdpJg,optRamp1
Property,optRamp2,_7Z8ccxH7EeaIeI6F5gdpJg,optRamp2
Property,indRamp1,_nnAA8xH8EeaIeI6F5gdpJg,indRamp1
Property,indRamp2,_xqoCAhH8EeaIeI6F5gdpJg,indRamp2
Property,ramp1,_swnwkxX2Eea6mfTNXns5yg,ramp1
Property,ramp2,_trigshX2Eea6mfTNXns5yg,ramp2
Property,ramp3,_uusm0xX2Eea6mfTNXns5yg,ramp3
Property,optEnd,_XBVGQxZ9Eeax3NYvbL0H7w,optEnd
Property,CheckAllowedToOperate,_f0UtMNgdEeaLleG51tH3Eg,Check_Allowed_To_Operate
Property,StartButton,_JcqusNgdEeaLleG51tH3Eg,StartButton
Property,InitCompleted,_z4fSQLe0EeaN5KNu953fkQ,InitCompleted
Property,AutomaticExecuteCompleted,_r36pgGRvEeaP7aiWefDRgg,AutomaticExecuteCompleted
Property,EmergencyStop,_W6uPQNgdEeaLleG51tH3Eg,EmergencyStop
Property,EmergencyHandled,_T4eIoGSBEeaP7aiWefDRgg,EmergencyHandled
Property,IsSorting,_GcRAAGRyEeaP7aiWefDRgg,IsSorting
Property,WPSorted,_IerjsGRyEeaP7aiWefDRgg,WPSorted
Property,WPTypeChecked,_KpwUIGRyEeaP7aiWefDRgg,WPTypeChecked
Property,TargetChanged,_MDZAkGRyEeaP7aiWefDRgg,TargetChanged
Property,WPType,_ZMoHsGRyEeaP7aiWefDRgg,WPType
Property,CurrentTarget,_igQPMGRyEeaP7aiWefDRgg,CurrentTarget
Property,PriorityWhite,_30vC4H5wEeaf0bAzsfqfCg,Priority_White
Property,PriorityBlack,_5iu1wH5wEeaf0bAzsfqfCg,Priority_Black
Property,PriorityMetallic,_685GoH5wEeaf0bAzsfqfCg,Priority_Metallic
Property,CounterVarWhite,_IE63UO0TEeaas4YgnJyohg,CounterVarWhite
Property,CounterVarBlack,_QepiYO0TEeaas4YgnJyohg,CounterVarBlack
Property,CounterVarMetallic,_S9kb4O0TEeaas4YgnJyohg,CounterVarMetallic
StateMachine,LargeSortingConveoyotACTChangeTarget,_ITYq8GR4EeaP7aiWefDRgg,LargeSortingConveoyot_ACT_ChangeTarget
Transition,WPTypeMetallic,_iBANwGR6EeaP7aiWefDRgg,[WPType=Metallic]
Transition,NOTTargetChanged,_icvHgGR6EeaP7aiWefDRgg,[NOT TargetChanged]
Transition,WPTypeWhite,_BSTtgGR7EeaP7aiWefDRgg,[WPType=White]
Transition,WPTypeBlack,_DjlMkGR7EeaP7aiWefDRgg,[WPType=Black]
Transition,PriorityWhite1,_fexFEGR7EeaP7aiWefDRgg,[PriorityWhite=1]
Transition,CurrentTargetRamp1,_EddlcGR8EeaP7aiWefDRgg,[CurrentTarget.Ramp1]
Transition,CurrentTargetRamp1,_JUx5sGR8EeaP7aiWefDRgg,[CurrentTarget=Ramp1]
Transition,TargetChanged,_q0ntkGR8EeaP7aiWefDRgg,[TargetChanged]
Transition,true,_W3Hn4GR9EeaP7aiWefDRgg,[true]
Transition,PriorityWhite3,_fj-DQGR9EeaP7aiWefDRgg,[PriorityWhite3]
Transition,notramp3DIWPDetected,_rsIu8GR9EeaP7aiWefDRgg,[not ramp3.DI_WPDetected]
Transition,notramp2DIWPDetected,_wYwPEGR9EeaP7aiWefDRgg,[not ramp2.DI_WPDetected]
Transition,CurrentTargetRamp3,_8981AGR9EeaP7aiWefDRgg,[CurrentTarget=Ramp3]
Transition,CurrentTargetRamp2,_9iiv0GR9EeaP7aiWefDRgg,[CurrentTarget=Ramp2]
Transition,CurrentTargetPicAlpha,_M6OrgGR-EeaP7aiWefDRgg,[CurrentTarget.PicAlpha]
Transition,PriorityWhite2,_SOcKsGV8Eeab9L8V4_TyWg,[PriorityWhite=2]
