var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,141,1772205728393252300,1772205678784875500,stackslidingCylinderExtend,1772205678785908000,1772205678838344600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,146,1772205728463256200,1772205678854593000,stackslidingCylinderRetracted,1772205678856152500,1772205678878741100,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,170,1772205728693256000,1772205679100312200,craneMotorTurnClockwise,1772205679100859200,1772205679116740100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,172,1772205728693256000,1772205679117876000,stackslidingCylinderExtended,1772205679117876000,1772205679141666500,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,174,1772205728703252500,1772205679142554000,stackslidingCylinderExtend,1772205679142554000,1772205679164197300,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,189,1772205728793257900,1772205679186524900,stackslidingCylinderExtended,1772205679188136700,1772205679211737700,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,206,1772205728892716300,1772205679284471300,cranePresenceSensorAtConveyorWPDetected,1772205679285496300,1772205679300850400,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,225,1772205729002713400,1772205679395962600,stackslidingCylinderRetracted,1772205679396719800,1772205679411676900,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,491,1772205730813163300,1772205681205286900,cranePresenceSensorAtStackWPDetected,1772205681205286900,1772205681219737600,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,494,1772205730823168800,1772205681221844600,craneMotorTurnClockwise,1772205681222847100,1772205681239923800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,499,1772205730863169800,1772205681255243900,craneMonostableCylinderExtend,1772205681255243900,1772205681264930000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,527,1772205731142788100,1772205681534694900,craneMonostableCylinderRetracted,1772205681535704000,1772205681557698600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,573,1772205731652791100,1772205682045126500,craneMonostableCylinderExtended,1772205682045774900,1772205682059398600,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,647,1772205732413382200,1772205682805771800,craneVacuumGripperTakenIn,1772205682806772400,1772205682822816900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,670,1772205732683381200,1772205683077231400,craneMonostableCylinderExtend,1772205683077780800,1772205683103407500,204
