var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,139,1772206227163174200,1772206177566683500,stackslidingCylinderExtend,1772206177566683500,1772206177685018400,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,147,1772206227223175400,1772206177691905000,stackslidingCylinderRetracted,1772206177691905000,1772206177723364300,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,178,1772206227454180600,1772206177857865700,craneMotorTurnClockwise,1772206177858873800,1772206177875056500,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,180,1772206227454180600,1772206177876059800,stackslidingCylinderExtended,1772206177876059800,1772206177892577800,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,181,1772206227464180000,1772206177893105600,stackslidingCylinderExtend,1772206177894137800,1772206177910901700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,198,1772206227554182400,1772206177959019800,stackslidingCylinderExtended,1772206177960027500,1772206177977192600,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,216,1772206227654179700,1772206178057968600,cranePresenceSensorAtConveyorWPDetected,1772206178058981800,1772206178086451900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,232,1772206227774183700,1772206178178127900,stackslidingCylinderRetracted,1772206178178127900,1772206178199115200,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,505,1772206229583942800,1772206179988357100,cranePresenceSensorAtStackWPDetected,1772206179988357100,1772206180023221500,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,508,1772206229593943000,1772206180027466800,craneMotorTurnClockwise,1772206180027976900,1772206180057058500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,516,1772206229633942000,1772206180063217500,craneMonostableCylinderExtend,1772206180064854300,1772206180092046600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,542,1772206229914059300,1772206180319211500,craneMonostableCylinderRetracted,1772206180320215300,1772206180346561900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,580,1772206230434059600,1772206180838368100,craneMonostableCylinderExtended,1772206180838368100,1772206180873470600,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,651,1772206231183910200,1772206181587598300,craneVacuumGripperTakenIn,1772206181587598300,1772206181630854100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,672,1772206231463911600,1772206181868347700,craneMonostableCylinderExtend,1772206181868857700,1772206181903557300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,686,1772206231583917900,1772206181988073300,craneMonostableCylinderExtended,1772206181988073300,1772206182017786300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,718,1772206231882915900,1772206182288266400,craneMonostableCylinderRetracted,1772206182289279700,1772206182321982300,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,720,1772206231932911500,1772206182337076300,craneMotorTurnCounterclockwise,1772206182337076300,1772206182366671300,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,751,1772206232132908900,1772206182535546500,cranePresenceSensorAtStackWPDetected,1772206182536561200,1772206182567273000,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,845,1772206232793334900,1772206183198945300,stackslidingCylinderExtend,1772206183198945300,1772206183252363900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,859,1772206232853334600,1772206183262141400,stackslidingCylinderRetracted,1772206183262141400,1772206183296940900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,896,1772206233073335000,1772206183479061900,stackslidingCylinderExtended,1772206183479061900,1772206183518862500,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,899,1772206233083328700,1772206183521390600,stackslidingCylinderExtend,1772206183521390600,1772206183558414100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,917,1772206233173328900,1772206183577230800,stackslidingCylinderExtended,1772206183578204700,1772206183627008900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,948,1772206233372905100,1772206183776222000,stackslidingCylinderRetracted,1772206183777751900,1772206183815680400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1044,1772206234003450900,1772206184406209400,cranePresenceSensorAtConveyorWPDetected,1772206184407213500,1772206184439727400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1074,1772206234193451100,1772206184596145700,cranePresenceSensorAtConveyorWPDetected,1772206184597161300,1772206184643220600,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1331,1772206235903518000,1772206186308020700,cranePresenceSensorAtStampWPDetected,1772206186308020700,1772206186335461300,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1334,1772206235913518500,1772206186337832100,craneMotorTurnCounterclockwise,1772206186337832100,1772206186363836400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1343,1772206235953515800,1772206186371238800,craneMonostableCylinderExtend,1772206186371238800,1772206186402959900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1364,1772206236223517900,1772206186627010900,craneMonostableCylinderRetracted,1772206186628024800,1772206186663769300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1403,1772206236743412100,1772206187147538800,craneMonostableCylinderExtended,1772206187147538800,1772206187180450100,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,1412,1772206236822412600,1772206187226628300,craneVacuumGripperTakenIn,1772206187226628300,1772206187269321100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1415,1772206236872412100,1772206187276414100,craneMonostableCylinderExtend,1772206187276927500,1772206187298998600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1426,1772206236992410000,1772206187396056900,craneMonostableCylinderExtended,1772206187397107000,1772206187428484100,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,False,1433,1772206237132408400,1772206187536072800,stampslidingCylinderExtend,1772206187536072800,1772206187560844300,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,True,1434,1772206237132408400,1772206187560844300,stampslidingCylinderRetract,1772206187563140300,1772206187585717500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1452,1772206237292410200,1772206187696398100,craneMonostableCylinderRetracted,1772206187697412500,1772206187749348900,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,False,1458,1772206237322412100,1772206187751368000,stampslidingCylinderExtended,1772206187752883600,1772206187804236200,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,True,1512,1772206237872412300,1772206188278400800,stampslidingCylinderRetracted,1772206188278400800,1772206188306119900,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,True,1513,1772206237882412800,1772206188307642000,stampstampingCylinderExtend,1772206188308152400,1772206188331813800,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,False,1625,1772206239392084900,1772206189796630400,stampstampingCylinderExtend,1772206189797646600,1772206189821172100,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,True,1627,1772206239402086800,1772206189825748700,stampslidingCylinderExtend,1772206189825748700,1772206189845903600,204
