var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,137,1772210971009905100,1772210921524981200,stackslidingCylinderRetracted,1772210921524981200,1772210921548874800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,142,1772210971069902100,1772210921585910600,stackslidingCylinderRetracted,1772210921585910600,1772210921594752500,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,174,1772210971289905100,1772210921805534700,stackslidingCylinderExtended,1772210921805534700,1772210921813688400,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,175,1772210971299908800,1772210921814950900,craneMotorTurnClockwise,1772210921814950900,1772210921823107400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,204,1772210971499904300,1772210922014880400,cranePresenceSensorAtConveyorWPDetected,1772210922014880400,1772210922024584500,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,486,1772210973448152100,1772210923962737400,cranePresenceSensorAtStackWPDetected,1772210923962737400,1772210923970673900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,489,1772210973459151700,1772210923972779800,craneMotorTurnClockwise,1772210923974303800,1772210923981488000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,494,1772210973499155000,1772210924014117100,craneMonostableCylinderExtend,1772210924014117100,1772210924021726300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,522,1772210973768698900,1772210924282752100,craneMonostableCylinderRetracted,1772210924283751300,1772210924292292900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,560,1772210974288381500,1772210924803846300,craneMonostableCylinderExtended,1772210924803846300,1772210924820679900,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,632,1772210975048381300,1772210925564952300,craneVacuumGripperTakenIn,1772210925564952300,1772210925572841700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,655,1772210975328963400,1772210925842933300,craneMonostableCylinderExtend,1772210925843932600,1772210925852572700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,669,1772210975448968400,1772210925964245900,craneMonostableCylinderExtended,1772210925964245900,1772210925970873200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,709,1772210975768963200,1772210926282624000,craneMonostableCylinderRetracted,1772210926283634500,1772210926291229800,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,711,1772210975798963500,1772210926313575500,craneMotorTurnCounterclockwise,1772210926313575500,1772210926320697200,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,745,1772210976008993500,1772210926523698500,cranePresenceSensorAtStackWPDetected,1772210926523698500,1772210926531417200,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,843,1772210976668994600,1772210927184005800,stackslidingCylinderExtend,1772210927184005800,1772210927202088900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,861,1772210976779001600,1772210927294507600,stackslidingCylinderExtended,1772210927294507600,1772210927302601700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,896,1772210976977996700,1772210927493794100,stackslidingCylinderRetracted,1772210927494800800,1772210927503957100,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1039,1772210977898527500,1772210928413321200,cranePresenceSensorAtConveyorWPDetected,1772210928413321200,1772210928432145300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1066,1772210978097525200,1772210928611746500,cranePresenceSensorAtConveyorWPDetected,1772210928613253900,1772210928620984100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1337,1772210979858165700,1772210930373561000,cranePresenceSensorAtStampWPDetected,1772210930373561000,1772210930381693500,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1339,1772210979868167700,1772210930383198100,craneMotorTurnCounterclockwise,1772210930383198100,1772210930392382700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1346,1772210979908160200,1772210930421978900,craneMonostableCylinderExtend,1772210930421978900,1772210930431787800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1363,1772210980188165200,1772210930703599100,craneMonostableCylinderRetracted,1772210930703599100,1772210930710711100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1401,1772210980698679100,1772210931213515000,craneMonostableCylinderExtended,1772210931213515000,1772210931221901800,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,1410,1772210980768682300,1772210931283343300,craneVacuumGripperTakenIn,1772210931283343300,1772210931291055800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1415,1772210980828682200,1772210931343455000,craneMonostableCylinderExtend,1772210931343970500,1772210931351357900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1423,1772210980958674100,1772210931472689800,craneMonostableCylinderExtended,1772210931473691800,1772210931481951200,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,False,1431,1772210981078682200,1772210931593263000,stampslidingCylinderExtend,1772210931593766900,1772210931600490100,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,True,1432,1772210981078682200,1772210931601491200,stampslidingCylinderRetract,1772210931601491200,1772210931609186100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1441,1772210981258679500,1772210931774182000,craneMonostableCylinderRetracted,1772210931774182000,1772210931781265500,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,False,1446,1772210981268679400,1772210931785259100,stampslidingCylinderExtended,1772210931785259100,1772210931792907300,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,True,1484,1772210981818369800,1772210932333947300,stampslidingCylinderRetracted,1772210932333947300,1772210932341475500,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,True,1487,1772210981828372300,1772210932344214500,stampstampingCylinderExtend,1772210932344214500,1772210932353541300,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,1505,1772210982068373800,1772210932583434400,stackslidingCylinderExtend,1772210932583974600,1772210932591016200,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,1511,1772210982127373800,1772210932643208300,stackslidingCylinderRetracted,1772210932643208300,1772210932652371600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,1539,1772210982347435300,1772210932863227600,stackslidingCylinderExtended,1772210932863227600,1772210932870970900,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,1541,1772210982357434800,1772210932872978500,stackslidingCylinderExtend,1772210932873484400,1772210932880600900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,1551,1772210982448437100,1772210932962691300,stackslidingCylinderExtended,1772210932962691300,1772210932971481800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,1572,1772210982657676900,1772210933173536900,stackslidingCylinderRetracted,1772210933173536900,1772210933181095400,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,False,1601,1772210983337169600,1772210933852939800,stampstampingCylinderExtend,1772210933852939800,1772210933860644300,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,True,1603,1772210983347168800,1772210933863155200,stampslidingCylinderExtend,1772210933863155200,1772210933877718700,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,False,1604,1772210983348172300,1772210933878727500,stampslidingCylinderRetract,1772210933878727500,1772210933894161700,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,False,1613,1772210983458174200,1772210933972980100,stampslidingCylinderRetracted,1772210933974275100,1772210933981272300,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,True,1635,1772210983977171500,1772210934491802500,stampslidingCylinderExtended,1772210934492808600,1772210934507669900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1641,1772210984047167300,1772210934563345900,craneMonostableCylinderExtend,1772210934563345900,1772210934569996200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1662,1772210984317164500,1772210934832085000,craneMonostableCylinderRetracted,1772210934832085000,1772210934841051600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1698,1772210984837261700,1772210935351982700,craneMonostableCylinderExtended,1772210935351982700,1772210935361972600,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,1742,1772210985577261100,1772210936092373800,craneVacuumGripperTakenIn,1772210936092373800,1772210936100285400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1762,1772210985858154900,1772210936373272600,craneMonostableCylinderExtend,1772210936373272600,1772210936383149700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1772,1772210985988151900,1772210936503580300,craneMonostableCylinderExtended,1772210936503580300,1772210936512705300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1793,1772210986288145500,1772210936802604800,craneMonostableCylinderRetracted,1772210936802604800,1772210936810988700,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,1796,1772210986338145800,1772210936852422400,craneMotorTurnClockwise,1772210936852422400,1772210936863356800,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,1820,1772210986488145800,1772210937002918000,cranePresenceSensorAtStampWPDetected,1772210937002918000,1772210937012647300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,2084,1772210988237067800,1772210938751968100,cranePresenceSensorAtConveyorWPDetected,1772210938751968100,1772210938760568900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,2087,1772210988247073100,1772210938762076800,craneMotorTurnClockwise,1772210938762076800,1772210938769180400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,2092,1772210988287071700,1772210938801380400,craneMonostableCylinderExtend,1772210938801380400,1772210938809728000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,2118,1772210988557071900,1772210939072123300,craneMonostableCylinderRetracted,1772210939072123300,1772210939080184900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,2153,1772210989067068200,1772210939581769000,craneMonostableCylinderExtended,1772210939581769000,1772210939588960400,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,2160,1772210989127067400,1772210939641710300,craneVacuumGripperTakenIn,1772210939641710300,1772210939650535800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,2169,1772210989197065600,1772210939711434700,craneMonostableCylinderExtend,1772210939711434700,1772210939718781500,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,True,2170,1772210989227066300,1772210939742119100,LSCMotorTurnClockwise,1772210939742119100,1772210939749410300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,2179,1772210989317065300,1772210939831965600,craneMonostableCylinderExtended,1772210939831965600,1772210939848746800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,2215,1772210989617069300,1772210940132332800,craneMonostableCylinderRetracted,1772210940132332800,1772210940139630400,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,2220,1772210989677071100,1772210940191780500,craneMotorTurnClockwise,1772210940192779300,1772210940201799300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,2256,1772210989867071600,1772210940382136600,cranePresenceSensorAtConveyorWPDetected,1772210940382136600,1772210940397792900,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,2353,1772210990416872600,1772210940932395700,LSCMotorTurnClockwise,1772210940932395700,1772210940950783600,204
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,True,2356,1772210990426873600,1772210940951378300,LSCrampPusherStartExtend,1772210940951378300,1772210940970634400,204
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,False,2366,1772210990476875100,1772210940992208700,LSCrampPusherStartRetracted,1772210940992208700,1772210941001396000,204
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,2374,1772210990536876400,1772210941052927000,LSCrampPusherStartExtend,1772210941052927000,1772210941061284800,204
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,2419,1772210990836875700,1772210941352628800,LSCrampPusherStartRetracted,1772210941352628800,1772210941370308800,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,2561,1772210991827416700,1772210942342439700,cranePresenceSensorAtStackWPDetected,1772210942342439700,1772210942349687900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,2564,1772210991837417200,1772210942352273800,craneMotorTurnClockwise,1772210942352273800,1772210942359320400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,2572,1772210991877423400,1772210942392391300,craneMonostableCylinderExtend,1772210942392912300,1772210942400075700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,2587,1772210992147424100,1772210942664365300,craneMonostableCylinderRetracted,1772210942664365300,1772210942672102200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,2633,1772210992665963500,1772210943181482800,craneMonostableCylinderExtended,1772210943181482800,1772210943198848100,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,2702,1772210993416047300,1772210943930088700,craneVacuumGripperTakenIn,1772210943931616100,1772210943939769200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,2721,1772210993686049900,1772210944202922200,craneMonostableCylinderExtend,1772210944202922200,1772210944211755000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,2735,1772210993816043700,1772210944330980100,craneMonostableCylinderExtended,1772210944330980100,1772210944338842300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,2777,1772210994125846900,1772210944641896700,craneMonostableCylinderRetracted,1772210944641896700,1772210944649508700,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,2782,1772210994165848300,1772210944681731400,craneMotorTurnCounterclockwise,1772210944682731200,1772210944690397100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2815,1772210994375841100,1772210944890669900,cranePresenceSensorAtStackWPDetected,1772210944890669900,1772210944908248100,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,2916,1772210995026849500,1772210945542430500,stackslidingCylinderExtend,1772210945542430500,1772210945551081700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,2926,1772210995095842000,1772210945611358800,stackslidingCylinderRetracted,1772210945611358800,1772210945627998700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,2959,1772210995316847200,1772210945832535900,stackslidingCylinderExtended,1772210945832535900,1772210945839207200,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,2961,1772210995326848300,1772210945842537000,stackslidingCylinderExtend,1772210945842537000,1772210945850190100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,2978,1772210995416896500,1772210945932847300,stackslidingCylinderExtended,1772210945932847300,1772210945949993700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,3009,1772210995616897000,1772210946132250400,stackslidingCylinderRetracted,1772210946132250400,1772210946139324900,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,3102,1772210996286896400,1772210946802254400,cranePresenceSensorAtConveyorWPDetected,1772210946802806900,1772210946810944200,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,3135,1772210996486892800,1772210947002092500,cranePresenceSensorAtConveyorWPDetected,1772210947002092500,1772210947010673400,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,3386,1772210998245977600,1772210948761359000,cranePresenceSensorAtStampWPDetected,1772210948761359000,1772210948770874600,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,3389,1772210998255978400,1772210948770874600,craneMotorTurnCounterclockwise,1772210948772381500,1772210948780142900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,3395,1772210998295977200,1772210948810647900,craneMonostableCylinderExtend,1772210948810647900,1772210948819858500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,3415,1772210998565978300,1772210949081045900,craneMonostableCylinderRetracted,1772210949082047300,1772210949089844900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,3452,1772210999095977900,1772210949611504000,craneMonostableCylinderExtended,1772210949611504000,1772210949626183700,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,3460,1772210999165974900,1772210949681391000,craneVacuumGripperTakenIn,1772210949681391000,1772210949689445500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,3464,1772210999215974200,1772210949730823500,craneMonostableCylinderExtend,1772210949732330300,1772210949740040400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,3476,1772210999335978900,1772210949852420500,craneMonostableCylinderExtended,1772210949852420500,1772210949861032900,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,False,3488,1772210999455980700,1772210949970986200,stampslidingCylinderExtend,1772210949971571300,1772210949979260800,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,True,3489,1772210999455980700,1772210949979260800,stampslidingCylinderRetract,1772210949979260800,1772210949986379000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,3504,1772210999635694500,1772210950151442800,craneMonostableCylinderRetracted,1772210950151442800,1772210950166796300,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,False,3506,1772210999665693900,1772210950181164500,stampslidingCylinderExtended,1772210950181164500,1772210950189701200,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,True,3551,1772211000205694100,1772210950721332200,stampslidingCylinderRetracted,1772210950721332200,1772210950730165100,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,True,3553,1772211000215693600,1772210950732172800,stampstampingCylinderExtend,1772210950732172800,1772210950739724700,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,3592,1772211000695693900,1772210951211880900,stackslidingCylinderExtend,1772210951211880900,1772210951219971600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,3598,1772211000775696500,1772210951291536800,stackslidingCylinderRetracted,1772210951291536800,1772210951300241000,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,3611,1772211000995973600,1772210951512846800,stackslidingCylinderExtended,1772210951512846800,1772210951521497000,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,3613,1772211000995973600,1772210951521497000,stackslidingCylinderExtend,1772210951521497000,1772210951529972700,204
