var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,144,1772211104783678200,1772211055301376900,stackslidingCylinderExtend,1772211055301376900,1772211055317757500,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,148,1772211104853678200,1772211055370662200,stackslidingCylinderRetracted,1772211055371670900,1772211055378227800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,169,1772211105073678500,1772211055591736700,stackslidingCylinderExtended,1772211055591736700,1772211055598291200,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,171,1772211105083678700,1772211055601339900,craneMotorTurnClockwise,1772211055601339900,1772211055608265400,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,173,1772211105083678700,1772211055609322400,stackslidingCylinderExtend,1772211055609322400,1772211055624107100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,185,1772211105173680500,1772211055692650500,stackslidingCylinderExtended,1772211055692650500,1772211055707438600,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,201,1772211105283688400,1772211055801406800,cranePresenceSensorAtConveyorWPDetected,1772211055801406800,1772211055817927600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,215,1772211105373686900,1772211055891927300,stackslidingCylinderRetracted,1772211055891927300,1772211055897525100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,484,1772211107223031000,1772211057740569200,cranePresenceSensorAtStackWPDetected,1772211057740569200,1772211057747624000,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,485,1772211107233030800,1772211057751146000,craneMotorTurnClockwise,1772211057751146000,1772211057756222500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,493,1772211107273029600,1772211057790731600,craneMonostableCylinderExtend,1772211057790731600,1772211057796888600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,518,1772211107543031100,1772211058060336900,craneMonostableCylinderRetracted,1772211058061348600,1772211058067384400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,557,1772211108073034500,1772211058591609700,craneMonostableCylinderExtended,1772211058591609700,1772211058598206700,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,639,1772211108812683500,1772211059330164500,craneVacuumGripperTakenIn,1772211059330164500,1772211059336492800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,661,1772211109092302700,1772211059609435700,craneMonostableCylinderExtend,1772211059609435700,1772211059615700100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,676,1772211109222953100,1772211059740105900,craneMonostableCylinderExtended,1772211059740105900,1772211059753619800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,714,1772211109532901300,1772211060050870300,craneMonostableCylinderRetracted,1772211060050870300,1772211060057005900,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,721,1772211109572609600,1772211060090444700,craneMotorTurnCounterclockwise,1772211060090444700,1772211060096658400,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,749,1772211109772874100,1772211060291385800,cranePresenceSensorAtStackWPDetected,1772211060291385800,1772211060306553000,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,848,1772211110432904400,1772211060951944700,stackslidingCylinderExtend,1772211060952479000,1772211060958865700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,860,1772211110502904700,1772211061021500700,stackslidingCylinderRetracted,1772211061022042000,1772211061028209800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,890,1772211110722905200,1772211061241510700,stackslidingCylinderExtended,1772211061241510700,1772211061248262900,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,892,1772211110732904700,1772211061251301600,stackslidingCylinderExtend,1772211061252307900,1772211061257829900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,907,1772211110822905300,1772211061341839800,stackslidingCylinderExtended,1772211061341839800,1772211061348380400,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,943,1772211111022900100,1772211061541821900,stackslidingCylinderRetracted,1772211061541821900,1772211061547601300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1040,1772211111672571400,1772211062190135200,cranePresenceSensorAtConveyorWPDetected,1772211062190642800,1772211062205416300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1073,1772211111872573100,1772211062390575400,cranePresenceSensorAtConveyorWPDetected,1772211062390575400,1772211062396790200,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1330,1772211113631671600,1772211064149995100,cranePresenceSensorAtStampWPDetected,1772211064149995100,1772211064156051300,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1331,1772211113641671500,1772211064159625400,craneMotorTurnCounterclockwise,1772211064159625400,1772211064166147300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1339,1772211113681669700,1772211064199757900,craneMonostableCylinderExtend,1772211064200264000,1772211064214511200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1364,1772211113962161600,1772211064479087700,craneMonostableCylinderRetracted,1772211064479087700,1772211064486762200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1396,1772211114472159100,1772211064989685800,craneMonostableCylinderExtended,1772211064989685800,1772211065003862200,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,1403,1772211114542159200,1772211065060224800,craneVacuumGripperTakenIn,1772211065060224800,1772211065067838100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1409,1772211114602159700,1772211065119854100,craneMonostableCylinderExtend,1772211065120361600,1772211065125985600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1421,1772211114722159200,1772211065239867100,craneMonostableCylinderExtended,1772211065239867100,1772211065246968500,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,False,1435,1772211114842165000,1772211065361492200,stampslidingCylinderExtend,1772211065361492200,1772211065377641000,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,True,1436,1772211114842165000,1772211065378310900,stampslidingCylinderRetract,1772211065378310900,1772211065384574100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1445,1772211115032164900,1772211065550169700,craneMonostableCylinderRetracted,1772211065550169700,1772211065558395600,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,False,1449,1772211115043166500,1772211065561405600,stampslidingCylinderExtended,1772211065561405600,1772211065567939100,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,True,1485,1772211115601872300,1772211066120421300,stampslidingCylinderRetracted,1772211066120421300,1772211066136867500,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,True,1486,1772211115601872300,1772211066136867500,stampstampingCylinderExtend,1772211066136867500,1772211066143606300,204
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,False,1581,1772211117121822100,1772211067639790300,stampstampingCylinderExtend,1772211067639790300,1772211067645869900,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,True,1582,1772211117121822100,1772211067645869900,stampslidingCylinderExtend,1772211067645869900,1772211067653574800,204
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,False,1583,1772211117121822100,1772211067653574800,stampslidingCylinderRetract,1772211067653574800,1772211067660149500,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,False,1588,1772211117241144000,1772211067759071400,stampslidingCylinderRetracted,1772211067759071400,1772211067765809900,204
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,True,1621,1772211117751141100,1772211068269787700,stampslidingCylinderExtended,1772211068270297000,1772211068275948800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1624,1772211117831142800,1772211068348545600,craneMonostableCylinderExtend,1772211068348545600,1772211068357617200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1652,1772211118091877200,1772211068609099300,craneMonostableCylinderRetracted,1772211068609099300,1772211068617690800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1690,1772211118610921700,1772211069129130400,craneMonostableCylinderExtended,1772211069129130400,1772211069135550000,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,1726,1772211119361921500,1772211069880426800,craneVacuumGripperTakenIn,1772211069880426800,1772211069888310000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1746,1772211119641040900,1772211070161277300,craneMonostableCylinderExtend,1772211070161277300,1772211070169982800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1755,1772211119771110100,1772211070289171300,craneMonostableCylinderExtended,1772211070289171300,1772211070296876200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,1780,1772211120071042200,1772211070590447700,craneMonostableCylinderRetracted,1772211070590447700,1772211070598267900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,1782,1772211120121039300,1772211070639081200,craneMotorTurnClockwise,1772211070639081200,1772211070654460600,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,1806,1772211120262045500,1772211070780782400,cranePresenceSensorAtStampWPDetected,1772211070780782400,1772211070789022600,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,2062,1772211122011609300,1772211072529454100,cranePresenceSensorAtConveyorWPDetected,1772211072529454100,1772211072537626300,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,2063,1772211122021610500,1772211072539679100,craneMotorTurnClockwise,1772211072539679100,1772211072549456600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,2070,1772211122061610100,1772211072579328200,craneMonostableCylinderExtend,1772211072579328200,1772211072589895900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,2092,1772211122331433600,1772211072849430300,craneMonostableCylinderRetracted,1772211072850438500,1772211072857709700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,2140,1772211122840431200,1772211073359510900,craneMonostableCylinderExtended,1772211073359510900,1772211073368019800,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,2150,1772211122900432000,1772211073419203000,craneVacuumGripperTakenIn,1772211073419203000,1772211073436566200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,2159,1772211122970431300,1772211073488784800,craneMonostableCylinderExtend,1772211073488784800,1772211073499230900,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,True,2161,1772211123000429800,1772211073519106500,LSCMotorTurnClockwise,1772211073519106500,1772211073527839100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,2170,1772211123090431800,1772211073609402200,craneMonostableCylinderExtended,1772211073609402200,1772211073619974000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,2202,1772211123390993800,1772211073909018700,craneMonostableCylinderRetracted,1772211073909813100,1772211073917518700,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,2210,1772211123440284000,1772211073958902200,craneMotorTurnClockwise,1772211073958902200,1772211073965595400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,2246,1772211123651284000,1772211074169649700,cranePresenceSensorAtConveyorWPDetected,1772211074169649700,1772211074177387100,204
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,2332,1772211124191283000,1772211074710058800,LSCMotorTurnClockwise,1772211074710058800,1772211074718307900,204
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,True,2335,1772211124201280600,1772211074719315400,LSCrampPusherStartExtend,1772211074719315400,1772211074726886800,204
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,False,2344,1772211124251280700,1772211074769611000,LSCrampPusherStartRetracted,1772211074769611000,1772211074776773700,204
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,2353,1772211124311280800,1772211074830414300,LSCrampPusherStartExtend,1772211074830414300,1772211074838125200,204
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,2402,1772211124611278200,1772211075129742900,LSCrampPusherStartRetracted,1772211075129742900,1772211075137876700,204
