var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,136,1772208309935581000,1772208260387949100,stackslidingCylinderRetracted,1772208260387949100,1772208260417265800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,145,1772208309995823800,1772208260447993700,stackslidingCylinderRetracted,1772208260447993700,1772208260465505900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,174,1772208310225824500,1772208260677954500,craneMotorTurnClockwise,1772208260677954500,1772208260686955800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,176,1772208310225824500,1772208260687462100,stackslidingCylinderExtended,1772208260687462100,1772208260702799700,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,179,1772208310235823800,1772208260703858200,stackslidingCylinderExtend,1772208260704447000,1772208260710631500,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,193,1772208310325823800,1772208260778496300,stackslidingCylinderExtended,1772208260778496300,1772208260784620100,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,208,1772208310425823900,1772208260877281600,cranePresenceSensorAtConveyorWPDetected,1772208260878285500,1772208260894116200,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,226,1772208310535823800,1772208260988434600,stackslidingCylinderRetracted,1772208260988941800,1772208261005463100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,507,1772208312365738500,1772208262818512100,cranePresenceSensorAtStackWPDetected,1772208262819527700,1772208262828896600,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,510,1772208312375737900,1772208262831522400,craneMotorTurnClockwise,1772208262831522400,1772208262839130300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,518,1772208312415738200,1772208262868218500,craneMonostableCylinderExtend,1772208262868218500,1772208262886530300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,537,1772208312695740400,1772208263148195100,craneMonostableCylinderRetracted,1772208263148195100,1772208263156815300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,578,1772208313216169600,1772208263668327500,craneMonostableCylinderExtended,1772208263669337300,1772208263687301500,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,645,1772208313964773500,1772208264417267200,craneVacuumGripperTakenIn,1772208264417267200,1772208264423446500,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,667,1772208314244770600,1772208264697371600,craneMonostableCylinderExtend,1772208264697371600,1772208264704448900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,687,1772208314364768400,1772208264817201500,craneMonostableCylinderExtended,1772208264817201500,1772208264824278900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,724,1772208314664770200,1772208265118405400,craneMonostableCylinderRetracted,1772208265118405400,1772208265127267900,204
