var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,143,1772209893447400600,1772209843936056100,stackslidingCylinderExtend,1772209843937158600,1772209843991274900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,147,1772209893527404000,1772209844016773500,stackslidingCylinderRetracted,1772209844017783600,1772209844033370100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,177,1772209893737406300,1772209844228984800,stackslidingCylinderExtended,1772209844228984800,1772209844246032500,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,180,1772209893747406300,1772209844248195000,stackslidingCylinderExtend,1772209844249203500,1772209844270284900,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,181,1772209893757406200,1772209844271293700,craneMotorTurnClockwise,1772209844271293700,1772209844294536100,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,193,1772209893837401900,1772209844328332100,stackslidingCylinderExtended,1772209844328332100,1772209844351427400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,212,1772209893957363500,1772209844446423900,cranePresenceSensorAtConveyorWPDetected,1772209844447437100,1772209844461751400,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,224,1772209894037367500,1772209844528240100,stackslidingCylinderRetracted,1772209844528240100,1772209844551209100,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,512,1772209895917684400,1772209846406782400,cranePresenceSensorAtStackWPDetected,1772209846408085100,1772209846423495200,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,515,1772209895927682700,1772209846426014300,craneMotorTurnClockwise,1772209846427028200,1772209846443026900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,522,1772209895967682600,1772209846456938300,craneMonostableCylinderExtend,1772209846458465800,1772209846480438100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,542,1772209896247682400,1772209846737540400,craneMonostableCylinderRetracted,1772209846738117600,1772209846754914100,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,562,1772209896767247300,1772209847257227100,craneMonostableCylinderExtended,1772209847257227100,1772209847266409100,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,639,1772209897526150500,1772209848015842200,craneVacuumGripperTakenIn,1772209848015842200,1772209848031916400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,665,1772209897796150700,1772209848286022400,craneMonostableCylinderExtend,1772209848286543600,1772209848301668200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,674,1772209897916150100,1772209848405116700,craneMonostableCylinderExtended,1772209848406146000,1772209848418728700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,706,1772209898226228700,1772209848716100300,craneMonostableCylinderRetracted,1772209848716100300,1772209848730148900,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,709,1772209898256226600,1772209848746681400,craneMotorTurnCounterclockwise,1772209848747679900,1772209848763175500,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,735,1772209898426226800,1772209848915991800,cranePresenceSensorAtStackWPDetected,1772209848915991800,1772209848938932700,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,847,1772209899126446900,1772209849616507000,stackslidingCylinderExtend,1772209849616507000,1772209849641190600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,857,1772209899196451100,1772209849687147000,stackslidingCylinderRetracted,1772209849687707900,1772209849699633900,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,895,1772209899417087100,1772209849907919800,stackslidingCylinderExtended,1772209849907919800,1772209849920399400,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,897,1772209899427087700,1772209849920399400,stackslidingCylinderExtend,1772209849921978500,1772209849942291800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,912,1772209899517087400,1772209850007840800,stackslidingCylinderExtended,1772209850007840800,1772209850029524700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,946,1772209899717083800,1772209850206126000,stackslidingCylinderRetracted,1772209850206642500,1772209850226464500,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1048,1772209900357079200,1772209850847132200,cranePresenceSensorAtConveyorWPDetected,1772209850847132200,1772209850866870400,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1079,1772209900557078800,1772209851046759800,cranePresenceSensorAtConveyorWPDetected,1772209851046759800,1772209851058731600,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1338,1772209902286198500,1772209852786319300,cranePresenceSensorAtStampWPDetected,1772209852806415600,1772209852883863800,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1341,1772209902296195600,1772209852913660700,craneMotorTurnCounterclockwise,1772209852914672200,1772209852988535700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,1347,1772209902336198700,1772209852989631400,craneMonostableCylinderExtend,1772209852989631400,1772209853001159900,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,1367,1772209902616193000,1772209853105379400,craneMonostableCylinderRetracted,1772209853105379400,1772209853120728800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,1397,1772209903126193400,1772209853615546000,craneMonostableCylinderExtended,1772209853615546000,1772209853628550700,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,1410,1772209903206198600,1772209853695641000,craneVacuumGripperTakenIn,1772209853696650500,1772209853709546400,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,1416,1772209903266198600,1772209853755796700,craneMonostableCylinderExtend,1772209853756800400,1772209853776723800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,1425,1772209903386197400,1772209853876187400,craneMonostableCylinderExtended,1772209853876754200,1772209853888755800,204
