var_name,value,seq,t0_ns,t_receive_ns,mapped_name,t_req0_ns,t_resp_ns,http_status
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,136,1772208064334922200,1772208014781572800,stackslidingCylinderRetracted,1772208014783085100,1772208014831323700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,144,1772208064394920200,1772208014843642700,stackslidingCylinderRetracted,1772208014843642700,1772208014862102200,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,True,166,1772208064624479400,1772208015071755700,craneMotorTurnClockwise,1772208015072262500,1772208015087824800,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,True,168,1772208064624479400,1772208015089374700,stackslidingCylinderExtended,1772208015089374700,1772208015110437200,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,199,1772208064834485300,1772208015281062300,cranePresenceSensorAtConveyorWPDetected,1772208015281062300,1772208015297857500,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,True,484,1772208066784570600,1772208017231122700,cranePresenceSensorAtStackWPDetected,1772208017231122700,1772208017251465800,204
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,487,1772208066794571700,1772208017253986100,craneMotorTurnClockwise,1772208017254984600,1772208017267579300,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,True,493,1772208066834576600,1772208017283180900,craneMonostableCylinderExtend,1772208017283180900,1772208017295228000,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,False,512,1772208067114585000,1772208017561872100,craneMonostableCylinderRetracted,1772208017561872100,1772208017574470600,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,True,542,1772208067635341600,1772208018081460200,craneMonostableCylinderExtended,1772208018083026700,1772208018104584700,204
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,True,613,1772208068385150300,1772208018832204800,craneVacuumGripperTakenIn,1772208018833378900,1772208018848858800,204
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,632,1772208068655149900,1772208019104102600,craneMonostableCylinderExtend,1772208019105087600,1772208019128553200,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,642,1772208068784821300,1772208019231038400,craneMonostableCylinderExtended,1772208019231038400,1772208019256183700,204
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,679,1772208069084815300,1772208019531011300,craneMonostableCylinderRetracted,1772208019531740900,1772208019549100400,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,True,684,1772208069124817000,1772208019571272700,craneMotorTurnCounterclockwise,1772208019571272700,1772208019591045300,204
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,719,1772208069334817500,1772208019780853100,cranePresenceSensorAtStackWPDetected,1772208019782361500,1772208019807376100,204
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,824,1772208070003821100,1772208020453218500,stackslidingCylinderExtend,1772208020453218500,1772208020479187700,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,841,1772208070114484600,1772208020563838900,stackslidingCylinderExtended,1772208020563838900,1772208020583145600,204
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,875,1772208070324484100,1772208020773259400,stackslidingCylinderRetracted,1772208020774275700,1772208020793179300,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1013,1772208071194484100,1772208021641482200,cranePresenceSensorAtConveyorWPDetected,1772208021642028500,1772208021659705900,204
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,False,1045,1772208071394478400,1772208021841557700,cranePresenceSensorAtConveyorWPDetected,1772208021841557700,1772208021865132200,204
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,True,1303,1772208073094588900,1772208023541773500,cranePresenceSensorAtStampWPDetected,1772208023542468700,1772208023560746400,204
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,1305,1772208073104589500,1772208023563903100,craneMotorTurnCounterclockwise,1772208023564425900,1772208023583215800,204
