Name,Port,DataType,Scope
Stempel_Halterung_Ausfahren,14,Inherit: Same as Simulink,Input
Stempel_Halterung_Einfahren,15,Inherit: Same as Simulink,Input
Band_Vor,16,Inherit: Same as Simulink,Input
Band_Zurueck,17,Inherit: Same as Simulink,Input
Band_Zyl_1_X_Achse,18,Inherit: Same as Simulink,Input
Band_Zyl_2_X_Achse,19,Inherit: Same as Simulink,Input
BT_Rotation_1,7,double,Output
BT_Rotation_2,8,double,Output
BT_Rotation_3,9,double,Output
BT_Rotation_4,10,double,Output
Lager_Ver_Ausfahren,20,Inherit: Same as Simulink,Input
Lager_Vereinzler_Schritt_Aus,21,Inherit: Same as Simulink,Input
Kran_Zyl_Schritt_Hoch,22,Inherit: Same as Simulink,Input
Kran_Zyl_Schritt_Runter,23,Inherit: Same as Simulink,Input
Kran_Drehen_Schritt,24,Inherit: Same as Simulink,Input
Stempel_Halterung_Schritt_Aus,25,Inherit: Same as Simulink,Input
Stempel_Halterung_Schritt_Ein,26,Inherit: Same as Simulink,Input
Band_Zyl_1_Schritt,27,Inherit: Same as Simulink,Input
Band_Zyl_2_Schritt,28,double,Input
Band_Geschwindigkeit,29,Inherit: Same as Simulink,Input
Bauteil_Fallgeschwindigkeit,30,double,Input
Lager_1_Status,31,Inherit: Same as Simulink,Input
Lager_2_Status,32,Inherit: Same as Simulink,Input
Lager_3_Status,33,Inherit: Same as Simulink,Input
Naechste_Position,N/A,double,Local
