idShort,Value
ModelName,Simulink_to_xppu
Creator,Leonardo Igler
LastModifiedBy,lijia
CreatedOn,Tue Dec 01 00:49:09 2020
ModelVersion,1.6
Description,N/A
SolverType,Fixed-step
SolverName,FixedStepDiscrete
FixedStepSize,0.1
StopTime,10.0
