var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772205398572073400,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772205398572073400,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772205398583072700,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772205398583072700,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772205398592276000,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772205398592276000,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772205398602278100,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772205398602278100,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772205398612283900,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772205398622277100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772205398622277100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772205398632278100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772205398632278100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772205398642276900,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772205398652277900,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772205398652277900,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772205398662277100,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772205398672277000,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772205398672277000,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772205398682277300,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772205398682277300,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772205398692277500,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772205398702278700,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772205398702278700,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772205398712278400,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772205398712278400,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772205398722277400,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772205398732278200,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772205398732278200,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772205398742277700,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772205398742277700,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772205398752280200,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772205398762277700,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772205398762277700,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772205398772277900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772205398772277900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772205398782276600,
