var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772211911576905700,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772211911586905500,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772211911596906400,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772211911596906400,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772211911606905700,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772211911606905700,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772211911616905500,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772211911626905900,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772211911626905900,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772211911636905600,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772211911636905600,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772211911646907400,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772211911656905600,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772211911656905600,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772211911666906800,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772211911666906800,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772211911676907800,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772211911686907600,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772211911686907600,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772211911696910600,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772211911696910600,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772211911706908700,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772211911716913600,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772211911716913600,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772211911726911200,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772211911726911200,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772211911736908200,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772211911736908200,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772211911746910000,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772211911756907700,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772211911756907700,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772211911766907600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772211911766907600,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772211911776910700,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772211911776910700,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772211911786914600,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772211911796907400,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772211911796907400,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772211911806907300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772211911806907300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772211911816906500,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772211911826907900,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772211911826907900,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772211911836907900,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772211911836907900,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772211911846911300,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772211911856907400,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772211911856907400,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772211911866907200,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772211911866907200,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772211911876908200,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772211911886907600,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772211911886907600,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772211911896909900,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772211911896909900,
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,False,56,1772211911906909300,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,57,1772211911906909300,
MAIN.m_container.m_PAC.Motor.AI_Position,False,58,1772211911916908100,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,59,1772211911926909100,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,60,1772211911926909100,
