var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772211725379295100,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772211725389303600,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772211725389303600,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772211725399295000,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772211725399295000,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772211725409295200,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772211725419294500,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772211725419294500,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772211725429294600,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772211725429294600,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772211725439296100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772211725449294900,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772211725449294900,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772211725459297100,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772211725459297100,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772211725469296400,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772211725479295200,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772211725479295200,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772211725489294900,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772211725489294900,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772211725499295800,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772211725509296900,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772211725509296900,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772211725519296400,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772211725519296400,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772211725529297100,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772211725539296900,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772211725539296900,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772211725549296600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772211725549296600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772211725559300000,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772211725569296600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772211725569296600,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772211725579296600,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772211725579296600,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772211725589297200,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772211725599296000,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772211725599296000,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772211725609298600,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772211725609298600,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772211725619296800,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772211725629302700,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772211725629302700,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772211725639294900,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772211725639294900,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772211725649297100,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772211725659298600,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772211725659298600,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772211725669296300,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772211725669296300,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772211725679298000,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772211725689297400,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772211725689297400,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772211725699296700,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772211725699296700,
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,False,56,1772211725709299400,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,57,1772211725719297200,
MAIN.m_container.m_PAC.Motor.AI_Position,False,58,1772211725719297200,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,59,1772211725729295900,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,60,1772211725729295900,
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,False,61,1772211725739296700,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,False,62,1772211725739296700,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,False,63,1772211725749296100,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,False,64,1772211725759299000,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition4.DI_WPDetected,False,65,1772211725759299000,
MAIN.m_container.m_PicAlpha.Motor.AI_Position,False,66,1772211725769297100,
MAIN.m_container.m_PicAlpha.Motor.AI_Speed,False,67,1772211725769297100,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnClockwise,False,68,1772211725779296700,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnCounterclockwise,False,69,1772211725789297700,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_FlowPressure,False,70,1772211725789297700,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PositionTransmitter,False,71,1772211725799297300,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PressureSensor,False,72,1772211725799297300,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryFlowPressure,False,73,1772211725809298200,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryPressure,False,74,1772211725819295900,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Extended,False,75,1772211725819295900,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Retracted,True,76,1772211725829296600,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DO_Extend,False,77,1772211725829296600,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DI_TakenIn,False,78,1772211725839297200,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DO_VacuumOn,False,79,1772211725849296500,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.VacuumHit,False,80,1772211725849296500,
MAIN.m_container.m_RFC.m_PresencesensorEnd.DI_WPDetected,False,81,1772211725859298400,
MAIN.m_container.m_RFC.m_PresencesensorStart.DI_WPDetected,False,82,1772211725859298400,
MAIN.m_container.m_RFC.m_Switch.DI_BoundaryPressure,False,83,1772211725869297500,
MAIN.m_container.m_RFC.m_Switch.DI_Extended,False,84,1772211725879296400,
MAIN.m_container.m_RFC.m_Switch.DI_Retracted,True,85,1772211725879296400,
MAIN.m_container.m_RFC.m_Switch.DO_Extend,False,86,1772211725889298300,
MAIN.m_container.m_RFC.Motor.AI_Position,False,87,1772211725889298300,
MAIN.m_container.m_RFC.Motor.AI_Speed,False,88,1772211725899297000,
MAIN.m_container.m_RFC.Motor.DO_TurnClockwise,False,89,1772211725909299600,
MAIN.m_container.m_RFC.Motor.DO_TurnCounterclockwise,False,90,1772211725909299600,
MAIN.m_container.m_SSC.m_Inductivesensor.DI_WPMetallic,False,91,1772211725919296700,
MAIN.m_container.m_SSC.m_Opticalsensor.DI_WPLight,False,92,1772211725919296700,
MAIN.m_container.m_SSC.m_PresencesensorEnd.DI_WPDetected,False,93,1772211725929296000,
MAIN.m_container.m_SSC.m_PresencesensorStart.DI_WPDetected,False,94,1772211725939296600,
MAIN.m_container.m_SSC.m_Ramp.m_presenceSensorRampFull.DI_WPDetected,False,95,1772211725939296600,
MAIN.m_container.m_SSC.m_Switch.DI_BoundaryPressure,False,96,1772211725949296700,
MAIN.m_container.m_SSC.m_Switch.DI_Extended,False,97,1772211725949296700,
MAIN.m_container.m_SSC.m_Switch.DI_Retracted,True,98,1772211725959302000,
MAIN.m_container.m_SSC.m_Switch.DO_Extend,False,99,1772211725969297700,
MAIN.m_container.m_SSC.Motor.AI_Position,False,100,1772211725969297700,
MAIN.m_container.m_SSC.Motor.AI_Speed,False,101,1772211725979302700,
MAIN.m_container.m_SSC.Motor.DO_TurnClockwise,False,102,1772211725979302700,
MAIN.m_container.m_SSC.Motor.DO_TurnCounterclockwise,False,103,1772211725989295400,
MAIN.m_container.m_stack.m_Inductivesensor.DI_WPMetallic,False,104,1772211725999294400,
MAIN.m_container.m_stack.m_Opticalsensor.DI_WPLight,False,105,1772211725999294400,
MAIN.m_container.m_stack.m_Presencesensor.DI_WPDetected,False,106,1772211726009295000,
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,107,1772211726009295000,
MAIN.m_container.m_stack.o_slidingCylinder.AI_FlowPressure,False,108,1772211726019294700,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PositionTransmitter,False,109,1772211726028582400,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PressureSensor,False,110,1772211726028582400,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryFlowPressure,False,111,1772211726038787300,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryPressure,True,112,1772211726038787300,
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,113,1772211726048787400,
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,True,114,1772211726048787400,
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,False,115,1772211726048787400,
MAIN.m_container.m_stamp.m_presenceSensor.DI_WPDetected,False,116,1772211726058788500,
MAIN.m_container.m_stamp.m_pressureSensor.AI_CurrentPressure,True,117,1772211726058788500,
MAIN.m_container.m_stamp.m_pressureValve.AO_SetPressure,False,118,1772211726068788200,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_FlowPressure,False,119,1772211726068788200,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PositionTransmitter,False,120,1772211726078787600,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_PressureSensor,False,121,1772211726078787600,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryFlowPressure,False,122,1772211726078787600,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_BoundaryPressure,True,123,1772211726088796500,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,True,124,1772211726088796500,
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,False,125,1772211726098788500,
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,True,126,1772211726098788500,
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,False,127,1772211726108788600,
MAIN.m_container.m_stamp.m_stampingCylinder.AI_FlowPressure,False,128,1772211726108788600,
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PositionTransmitter,False,129,1772211726118790600,
MAIN.m_container.m_stamp.m_stampingCylinder.AI_PressureSensor,False,130,1772211726118790600,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryFlowPressure,False,131,1772211726128788000,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_BoundaryPressure,False,132,1772211726128788000,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Extended,False,133,1772211726128788000,
MAIN.m_container.m_stamp.m_stampingCylinder.DI_Retracted,True,134,1772211726138787700,
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,False,135,1772211726138787700,
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,136,1772211733138131900,1772211733140132100
MAIN.m_container.m_stamp.m_pressureSensor.AI_CurrentPressure,True,137,1772211733138131900,1772211733140132100
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,138,1772211733178131400,1772211733179131800
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,139,1772211733178131400,1772211733180139100
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,140,1772211733178131400,1772211733195131400
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,141,1772211733188131200,1772211733196133400
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,142,1772211733198131800,1772211733199131600
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,143,1772211733208131500,1772211733209131800
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,144,1772211733239140000,1772211733241136600
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,145,1772211733239140000,1772211733242135300
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,146,1772211733239140000,1772211733249136200
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,147,1772211733249136200,1772211733250136100
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,148,1772211733258131700,1772211733259131900
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,149,1772211733268132600,1772211733269132800
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,150,1772211733299142200,1772211733301140400
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,151,1772211733299142200,1772211733302135400
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,152,1772211733309141000,1772211733311141000
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,153,1772211733318131500,1772211733319140100
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,154,1772211733359140400,1772211733360134400
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,155,1772211733359140400,1772211733361133500
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,156,1772211733369135400,1772211733371136000
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,157,1772211733379135900,1772211733381137200
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,158,1772211733389137600,1772211733390138300
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,159,1772211733399143500,1772211733401140000
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,160,1772211733408133200,1772211733409132300
MAIN.m_container.m_stack.m_Opticalsensor.DI_WPLight,True,161,1772211733419131600,1772211733420131900
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,162,1772211733419131600,1772211733420131900
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,163,1772211733429132300,1772211733430143600
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,164,1772211733438133200,1772211733439132300
