var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772211097393906500,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772211097403906800,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772211097403906800,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772211097413906800,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772211097413906800,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772211097423909500,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772211097433906600,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772211097433906600,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772211097443906900,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772211097443906900,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772211097453906900,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772211097463907200,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772211097463907200,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772211097473913500,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772211097473913500,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772211097483908100,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772211097493915200,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772211097493915200,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772211097503908300,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772211097503908300,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772211097513908100,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772211097523911800,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772211097523911800,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772211097533908500,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772211097533908500,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772211097543915000,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772211097553881800,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772211097553881800,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772211097563882100,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772211097563882100,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772211097573886300,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772211097583882100,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772211097583882100,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772211097593881900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772211097593881900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772211097603882300,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772211097613883300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772211097613883300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772211097623885400,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772211097623885400,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772211097633882000,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772211097643887600,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772211097643887600,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772211097653882000,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772211097653882000,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772211097663887800,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772211097673885400,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772211097673885400,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772211097683881800,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772211097683881800,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772211097693887200,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772211097703882000,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772211097703882000,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772211097713881400,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772211097713881400,
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,False,56,1772211097723886000,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,57,1772211097733882200,
MAIN.m_container.m_PAC.Motor.AI_Position,False,58,1772211097733882200,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,59,1772211097743881100,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,60,1772211097743881100,
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,False,61,1772211097753881900,
