var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772206214795803200,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772206214805803100,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772206214815828100,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772206214815828100,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772206214825974400,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772206214835966400,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772206214835966400,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772206214845967300,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772206214855967700,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772206214855967700,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772206214865966100,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772206214875971000,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772206214875971000,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772206214885974600,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772206214895967000,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772206214895967000,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772206214905968900,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772206214915967000,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772206214925970000,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772206214925970000,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772206214935968000,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772206214945967500,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772206214945967500,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772206214955974500,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772206214965974600,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772206214965974600,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772206214975970000,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772206214985974600,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772206214985974600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772206214995967500,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772206215005974700,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772206215015975000,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772206215015975000,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772206215025969100,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772206215035974900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772206215035974900,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772206215045969300,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772206215085965800,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772206215095967400,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772206215255966800,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772206215265965600,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772206215265965600,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772206215275967900,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772206215285967200,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772206215295967200,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772206215305967800,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772206215305967800,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772206215315967000,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772206215325970900,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772206215335967300,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772206215345967600,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772206215345967600,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772206215355968300,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772206215365966600,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772206215375968600,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,56,1772206215395969400,
MAIN.m_container.m_PAC.Motor.AI_Position,False,57,1772206215405968700,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,58,1772206215415967800,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,59,1772206215425971000,
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,False,60,1772206215435967700,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,False,61,1772206215435967700,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,False,62,1772206215445967000,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,False,63,1772206215455968500,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition4.DI_WPDetected,False,64,1772206215465967800,
MAIN.m_container.m_PicAlpha.Motor.AI_Position,False,65,1772206215475969700,
MAIN.m_container.m_PicAlpha.Motor.AI_Speed,False,66,1772206215475969700,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnClockwise,False,67,1772206215485968800,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnCounterclockwise,False,68,1772206215495966200,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_FlowPressure,False,69,1772206215505967900,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PositionTransmitter,False,70,1772206215515969000,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PressureSensor,False,71,1772206215515969000,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryFlowPressure,False,72,1772206215525966300,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryPressure,False,73,1772206215535974700,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Extended,False,74,1772206215545966400,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Retracted,True,75,1772206215555967600,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DO_Extend,False,76,1772206215555967600,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DI_TakenIn,False,77,1772206215565968000,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DO_VacuumOn,False,78,1772206215575970900,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.VacuumHit,False,79,1772206215585967300,
MAIN.m_container.m_RFC.m_PresencesensorEnd.DI_WPDetected,False,80,1772206215595968900,
MAIN.m_container.m_RFC.m_PresencesensorStart.DI_WPDetected,False,81,1772206215595968900,
MAIN.m_container.m_RFC.m_Switch.DI_BoundaryPressure,False,82,1772206215605968300,
MAIN.m_container.m_RFC.m_Switch.DI_Extended,False,83,1772206215615967700,
