var_name,value,seq,t0_ns,t_return_ns
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,True,1,1772212505046165200,
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,False,2,1772212505056165100,
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,False,3,1772212505056165100,
MAIN.m_container.m_crane.Motor.AI_Position,False,4,1772212505066165100,
MAIN.m_container.m_crane.Motor.AI_Speed,False,5,1772212505076165100,
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,False,6,1772212505076165100,
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,False,7,1772212505086166000,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_FlowPressure,False,8,1772212505086166000,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PositionTransmitter,False,9,1772212505096166300,
MAIN.m_container.m_crane.o_MonostableCylinder.AI_PressureSensor,False,10,1772212505096166300,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryFlowPressure,False,11,1772212505106165500,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_BoundaryPressure,False,12,1772212505116165800,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,False,13,1772212505116165800,
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,True,14,1772212505126166000,
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,False,15,1772212505126166000,
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,False,16,1772212505136168300,
MAIN.m_container.m_crane.o_VacuumGripper.DO_VacuumOn,False,17,1772212505146165600,
MAIN.m_container.m_crane.o_VacuumGripper.VacuumHit,False,18,1772212505146165600,
MAIN.m_container.m_LSC.m_inductiveSensorMid.DI_WPMetallic,False,19,1772212505156165100,
MAIN.m_container.m_LSC.m_inductiveSensorStart.DI_WPMetallic,False,20,1772212505156165100,
MAIN.m_container.m_LSC.m_opticalSensorEnd.DI_WPLight,False,21,1772212505166165200,
MAIN.m_container.m_LSC.m_opticalSensorMid.DI_WPLight,False,22,1772212505176165100,
MAIN.m_container.m_LSC.m_opticalSensorStart.DI_WPLight,False,23,1772212505176165100,
MAIN.m_container.m_LSC.m_presenceSensorStart.DI_WPDetected,False,24,1772212505186166600,
MAIN.m_container.m_LSC.m_rampEnd.m_presenceSensorRampFull.DI_WPDetected,False,25,1772212505186166600,
MAIN.m_container.m_LSC.m_rampMiddle.m_presenceSensorRampFull.DI_WPDetected,False,26,1772212505196165900,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_FlowPressure,False,27,1772212505206166300,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PositionTransmitter,False,28,1772212505206166300,
MAIN.m_container.m_LSC.m_rampPusherMid.AI_PressureSensor,False,29,1772212505216166600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryFlowPressure,False,30,1772212505216166600,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_BoundaryPressure,False,31,1772212505226165900,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Extended,False,32,1772212505236168000,
MAIN.m_container.m_LSC.m_rampPusherMid.DI_Retracted,True,33,1772212505236168000,
MAIN.m_container.m_LSC.m_rampPusherMid.DO_Extend,False,34,1772212505246166800,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_FlowPressure,False,35,1772212505246166800,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PositionTransmitter,False,36,1772212505256165500,
MAIN.m_container.m_LSC.m_rampPusherStart.AI_PressureSensor,False,37,1772212505266165200,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryFlowPressure,False,38,1772212505266165200,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_BoundaryPressure,False,39,1772212505276166200,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Extended,False,40,1772212505276166200,
MAIN.m_container.m_LSC.m_rampPusherStart.DI_Retracted,True,41,1772212505286167900,
MAIN.m_container.m_LSC.m_rampPusherStart.DO_Extend,False,42,1772212505296165400,
MAIN.m_container.m_LSC.m_rampStart.m_presenceSensorRampFull.DI_WPDetected,False,43,1772212505296165400,
MAIN.m_container.m_LSC.m_Switch.DI_BoundaryPressure,False,44,1772212505306165100,
MAIN.m_container.m_LSC.m_Switch.DI_Extended,False,45,1772212505306165100,
MAIN.m_container.m_LSC.m_Switch.DI_Retracted,False,46,1772212505316165700,
MAIN.m_container.m_LSC.m_Switch.DO_Extend,False,47,1772212505326165800,
MAIN.m_container.m_LSC.Motor.AI_Position,False,48,1772212505326165800,
MAIN.m_container.m_LSC.Motor.AI_Speed,False,49,1772212505336166100,
MAIN.m_container.m_LSC.Motor.DO_TurnClockwise,False,50,1772212505336166100,
MAIN.m_container.m_LSC.Motor.DO_TurnCounterclockwise,False,51,1772212505346167500,
MAIN.m_container.m_PAC.m_PresencesensorEnd.DI_WPDetected,False,52,1772212505356165800,
MAIN.m_container.m_PAC.m_PresencesensorStart.DI_WPDetected,False,53,1772212505356165800,
MAIN.m_container.m_PAC.m_Switch.DI_BoundaryPressure,False,54,1772212505366166900,
MAIN.m_container.m_PAC.m_Switch.DI_Extended,True,55,1772212505366166900,
MAIN.m_container.m_PAC.m_Switch.DI_Retracted,False,56,1772212505376168400,
MAIN.m_container.m_PAC.m_Switch.DO_Extend,False,57,1772212505386169900,
MAIN.m_container.m_PAC.Motor.AI_Position,False,58,1772212505386169900,
MAIN.m_container.m_PAC.Motor.AI_Speed,False,59,1772212505396168400,
MAIN.m_container.m_PAC.Motor.DO_TurnClockwise,False,60,1772212505396168400,
MAIN.m_container.m_PAC.Motor.DO_TurnCounterclockwise,False,61,1772212505406166900,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition1.DI_WPDetected,False,62,1772212505416167800,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition2.DI_WPDetected,False,63,1772212505416167800,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition3.DI_WPDetected,False,64,1772212505426167900,
MAIN.m_container.m_PicAlpha.m_PresenceSensorPosition4.DI_WPDetected,False,65,1772212505426167900,
MAIN.m_container.m_PicAlpha.Motor.AI_Position,False,66,1772212505436169800,
MAIN.m_container.m_PicAlpha.Motor.AI_Speed,False,67,1772212505446166500,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnClockwise,False,68,1772212505446166500,
MAIN.m_container.m_PicAlpha.Motor.DO_TurnCounterclockwise,False,69,1772212505456166800,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_FlowPressure,False,70,1772212505456166800,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PositionTransmitter,False,71,1772212505466426100,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.AI_PressureSensor,False,72,1772212505476672200,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryFlowPressure,False,73,1772212505476672200,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_BoundaryPressure,False,74,1772212505486676000,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Extended,False,75,1772212505486676000,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DI_Retracted,True,76,1772212505496671800,
MAIN.m_container.m_PicAlpha.o_MonostableCylinder.DO_Extend,False,77,1772212505506669800,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DI_TakenIn,False,78,1772212505506669800,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.DO_VacuumOn,False,79,1772212505516670100,
MAIN.m_container.m_PicAlpha.o_VacuumGripper.VacuumHit,False,80,1772212505516670100,
MAIN.m_container.m_RFC.m_PresencesensorEnd.DI_WPDetected,False,81,1772212505526670300,
MAIN.m_container.m_RFC.m_PresencesensorStart.DI_WPDetected,False,82,1772212505536670600,
MAIN.m_container.m_RFC.m_Switch.DI_BoundaryPressure,False,83,1772212505536670600,
MAIN.m_container.m_RFC.m_Switch.DI_Extended,False,84,1772212505546670900,
MAIN.m_container.m_RFC.m_Switch.DI_Retracted,True,85,1772212505546670900,
MAIN.m_container.m_RFC.m_Switch.DO_Extend,False,86,1772212505556671200,
MAIN.m_container.m_RFC.Motor.AI_Position,False,87,1772212505556671200,
MAIN.m_container.m_RFC.Motor.AI_Speed,False,88,1772212505566672300,
MAIN.m_container.m_RFC.Motor.DO_TurnClockwise,False,89,1772212505576671700,
MAIN.m_container.m_RFC.Motor.DO_TurnCounterclockwise,False,90,1772212505576671700,
MAIN.m_container.m_SSC.m_Inductivesensor.DI_WPMetallic,False,91,1772212505586674100,
MAIN.m_container.m_SSC.m_Opticalsensor.DI_WPLight,False,92,1772212505586674100,
MAIN.m_container.m_SSC.m_PresencesensorEnd.DI_WPDetected,False,93,1772212505596672900,
MAIN.m_container.m_SSC.m_PresencesensorStart.DI_WPDetected,False,94,1772212505596672900,
MAIN.m_container.m_SSC.m_Ramp.m_presenceSensorRampFull.DI_WPDetected,False,95,1772212505606671800,
MAIN.m_container.m_SSC.m_Switch.DI_BoundaryPressure,False,96,1772212505616673700,
MAIN.m_container.m_SSC.m_Switch.DI_Extended,False,97,1772212505616673700,
MAIN.m_container.m_SSC.m_Switch.DI_Retracted,True,98,1772212505626671900,
MAIN.m_container.m_SSC.m_Switch.DO_Extend,False,99,1772212505626671900,
MAIN.m_container.m_SSC.Motor.AI_Position,False,100,1772212505636674600,
MAIN.m_container.m_SSC.Motor.AI_Speed,False,101,1772212505646672800,
MAIN.m_container.m_SSC.Motor.DO_TurnClockwise,False,102,1772212505646672800,
MAIN.m_container.m_SSC.Motor.DO_TurnCounterclockwise,False,103,1772212505656672300,
MAIN.m_container.m_stack.m_Inductivesensor.DI_WPMetallic,False,104,1772212505656672300,
MAIN.m_container.m_stack.m_Opticalsensor.DI_WPLight,False,105,1772212505666674000,
MAIN.m_container.m_stack.m_Presencesensor.DI_WPDetected,False,106,1772212505676671800,
MAIN.m_container.m_stack.m_Weightsensor.AI_WPWeight,True,107,1772212505676671800,
MAIN.m_container.m_stack.o_slidingCylinder.AI_FlowPressure,False,108,1772212505686674600,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PositionTransmitter,False,109,1772212505686674600,
MAIN.m_container.m_stack.o_slidingCylinder.AI_PressureSensor,False,110,1772212505696672700,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryFlowPressure,False,111,1772212505696672700,
MAIN.m_container.m_stack.o_slidingCylinder.DI_BoundaryPressure,True,112,1772212505706674400,
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,False,113,1772212505716671600,
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,False,114,1772212505716671600,
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,True,115,1772212505726672400,
MAIN.m_container.m_stamp.m_presenceSensor.DI_WPDetected,False,116,1772212505726672400,
MAIN.m_container.m_stamp.m_pressureSensor.AI_CurrentPressure,True,117,1772212505736675800,
MAIN.m_container.m_stamp.m_pressureValve.AO_SetPressure,False,118,1772212505747150300,
MAIN.m_container.m_stamp.m_slidingCylinder.AI_FlowPressure,False,119,1772212505747150300,
