name,time
Balluff BCS R08RR01-PSM80C-EP02 Capacitive sensor,5.400
Balluff BES 516-360-BO-C-03 Inductive Sensor,8.747
Balluff BES M12MI-PSC40B-BV03 Inductive sensor,9.144
Balluff BOS-18M-PS-1PD-E4-C-03 Optical sensor,9.565
Balluff BUS M18K0-XAER-040-S92K Ultrasonic Sensor,4.523
