var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,139,true,1772211206070514500,1772211156604147000,Unity.Received,1772211156604147000,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,139,true,1772211206070514500,1772211156604147000,StackCylinder.DO_Extend,1772211156605149500,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,145,false,1772211206140514300,1772211156684456400,Unity.Received,1772211156684456400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,173,true,1772211206350515100,1772211156885176100,Unity.Received,1772211156885176100,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,175,true,1772211206360516800,1772211156885176100,Unity.Received,1772211156885176100,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,175,true,1772211206360516800,1772211156885176100,RotCrane.Motor.DO_TurnClockwise,1772211156885176100,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,177,false,1772211206360516800,1772211156885176100,Unity.Received,1772211156885176100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,177,false,1772211206360516800,1772211156885176100,StackCylinder.DO_Extend,1772211156885176100,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,189,false,1772211206450518100,1772211156976665100,Unity.Received,1772211156976665100,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,209,false,1772211206580520000,1772211157134931400,Unity.Received,1772211157134931400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,224,true,1772211206650514500,1772211157177334000,Unity.Received,1772211157177334000,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,224,true,1772211206650514500,1772211157177334000,StackCylinder.DI_Retracted,1772211157476716100,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,488,true,1772211208490835400,1772211159047906900,Unity.Received,1772211159047906900,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,488,true,1772211208490835400,1772211159047906900,RotCrane.DI_AtStack,1772211159047906900,Reached
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,491,false,1772211208500836300,1772211159047906900,Unity.Received,1772211159047906900,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,491,false,1772211208500836300,1772211159047906900,RotCrane.Motor.DO_TurnClockwise,1772211159047906900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,496,true,1772211208540834300,1772211159086597600,Unity.Received,1772211159086597600,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,496,true,1772211208540834300,1772211159086597600,RotCraneCylinder.DO_Extend,1772211159086597600,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,514,false,1772211208820838100,1772211159372075000,Unity.Received,1772211159372075000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,553,true,1772211209340939100,1772211159863058200,Unity.Received,1772211159863058200,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,553,true,1772211209340939100,1772211159863058200,RotCraneCylinder.DI_Extended,1772211159864057200,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,629,true,1772211210081543800,1772211160635482800,Unity.Received,1772211160635482800,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,629,true,1772211210081543800,1772211160635482800,RotCraneVacuumCup.DI_TakenIn,1772211160635482800,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,652,false,1772211210361549200,1772211160919368500,Unity.Received,1772211160919368500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,652,false,1772211210361549200,1772211160919368500,RotCraneCylinder.DO_Extend,1772211160919368500,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,663,false,1772211210491542200,1772211161042874500,Unity.Received,1772211161042874500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,700,true,1772211210800643300,1772211161330394500,Unity.Received,1772211161330394500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,700,true,1772211210800643300,1772211161330394500,RotCraneCylinder.DI_Retracted,1772211161330394500,Reached
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,708,true,1772211210840642000,1772211161371648400,Unity.Received,1772211161371648400,Received
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,708,true,1772211210840642000,1772211161371648400,RotCrane.Motor.DO_TurnCounterclockwise,1772211161372164900,ActionStart
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,738,false,1772211211040641300,1772211161578457100,Unity.Received,1772211161578457100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,844,true,1772211211700290400,1772211162229547900,Unity.Received,1772211162229547900,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,844,true,1772211211700290400,1772211162229547900,StackCylinder.DO_Extend,1772211162229547900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,852,false,1772211211770287200,1772211162318199700,Unity.Received,1772211162318199700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,893,true,1772211211990288000,1772211162554387700,Unity.Received,1772211162554387700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,896,false,1772211212000289700,1772211162554387700,Unity.Received,1772211162554387700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,896,false,1772211212000289700,1772211162554387700,StackCylinder.DO_Extend,1772211162554387700,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,910,false,1772211212090290000,1772211162636823900,Unity.Received,1772211162636823900,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,941,true,1772211212289884000,1772211162837733400,Unity.Received,1772211162837733400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,941,true,1772211212289884000,1772211162837733400,StackCylinder.DI_Retracted,1772211163143023800,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1033,true,1772211212919879600,1772211163449108800,Unity.Received,1772211163449108800,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1033,true,1772211212919879600,1772211163449108800,RotCrane.DI_AtConveyor,1772211163449617100,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1067,false,1772211213119877200,1772211163654414900,Unity.Received,1772211163654414900,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,1318,true,1772211214860075800,1772211165407498200,Unity.Received,1772211165407498200,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,1318,true,1772211214860075800,1772211165407498200,RotCrane.DI_AtStamp,1772211165407498200,Reached
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,1320,false,1772211214870065500,1772211165407498200,Unity.Received,1772211165407498200,Received
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,1320,false,1772211214870065500,1772211165407498200,RotCrane.Motor.DO_TurnCounterclockwise,1772211165407498200,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1326,true,1772211214910071100,1772211165447570900,Unity.Received,1772211165447570900,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1326,true,1772211214910071100,1772211165447570900,RotCraneCylinder.DO_Extend,1772211165447570900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,1343,false,1772211215180074000,1772211165709536100,Unity.Received,1772211165709536100,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1377,true,1772211215701066700,1772211166238967100,Unity.Received,1772211166238967100,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1377,true,1772211215701066700,1772211166238967100,RotCraneCylinder.DI_Extended,1772211166238967100,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,1385,false,1772211215770071300,1772211166322159100,Unity.Received,1772211166322159100,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,1385,false,1772211215770071300,1772211166322159100,RotCraneVacuumCup.DI_TakenIn,1772211166322159100,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1388,false,1772211215830073400,1772211166359765000,Unity.Received,1772211166359765000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1388,false,1772211215830073400,1772211166359765000,RotCraneCylinder.DO_Extend,1772211166359765000,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1402,false,1772211215950065800,1772211166486224700,Unity.Received,1772211166486224700,Received
