var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,138,true,1772210034000521200,1772209984535950600,Unity.Received,1772209984535950600,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,138,true,1772210034000521200,1772209984535950600,StackCylinder.DO_Extend,1772209984536955900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,143,false,1772210034060800700,1772209984576613100,Unity.Received,1772209984576613100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,167,true,1772210034280802200,1772209984784043100,Unity.Received,1772209984784043100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,170,false,1772210034290802500,1772209984823215600,Unity.Received,1772209984823215600,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,170,false,1772210034290802500,1772209984823215600,StackCylinder.DO_Extend,1772209984823215600,ActionStart
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,171,true,1772210034300804100,1772209984823215600,Unity.Received,1772209984823215600,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,171,true,1772210034300804100,1772209984823215600,RotCrane.Motor.DO_TurnClockwise,1772209984823215600,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,184,false,1772210034380802000,1772209984905280400,Unity.Received,1772209984905280400,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,205,false,1772210034510802400,1772209985024995500,Unity.Received,1772209985024995500,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,216,true,1772210034580802500,1772209985108754700,Unity.Received,1772209985108754700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,216,true,1772210034580802500,1772209985108754700,StackCylinder.DI_Retracted,1772209985410317000,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,508,true,1772210036501078900,1772209987033578900,Unity.Received,1772209987033578900,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,508,true,1772210036501078900,1772209987033578900,RotCrane.DI_AtStack,1772209987033578900,Reached
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,511,false,1772210036511079500,1772209987033578900,Unity.Received,1772209987033578900,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,511,false,1772210036511079500,1772209987033578900,RotCrane.Motor.DO_TurnClockwise,1772209987033578900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,517,true,1772210036551082400,1772209987073829500,Unity.Received,1772209987073829500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,517,true,1772210036551082400,1772209987073829500,RotCraneCylinder.DO_Extend,1772209987073829500,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,539,false,1772210036830728700,1772209987360301000,Unity.Received,1772209987360301000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,587,true,1772210037340237300,1772209987852492800,Unity.Received,1772209987852492800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,587,true,1772210037340237300,1772209987852492800,RotCraneCylinder.DI_Extended,1772209987852492800,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,653,true,1772210038110243000,1772209988603251300,Unity.Received,1772209988603251300,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,653,true,1772210038110243000,1772209988603251300,RotCraneVacuumCup.DI_TakenIn,1772209988603251300,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,675,false,1772210038370161500,1772209988895759700,Unity.Received,1772209988895759700,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,675,false,1772210038370161500,1772209988895759700,RotCraneCylinder.DO_Extend,1772209988895759700,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,690,false,1772210038500163300,1772209989016875300,Unity.Received,1772209989016875300,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,719,true,1772210038800164000,1772209989304663600,Unity.Received,1772209989304663600,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,719,true,1772210038800164000,1772209989304663600,RotCraneCylinder.DI_Retracted,1772209989304663600,Reached
