var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,137,true,1772212379251300300,1772212329810401500,Unity.Received,1772212329810401500,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,137,true,1772212379251300300,1772212329810401500,StackCylinder.DO_Extend,1772212329811990900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,141,false,1772212379321556800,1772212329892547400,Unity.Received,1772212329892547400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,167,true,1772212379531561500,1772212330096013800,Unity.Received,1772212330096013800,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,168,true,1772212379541557000,1772212330096013800,Unity.Received,1772212330096013800,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,168,true,1772212379541557000,1772212330096013800,RotCrane.Motor.DO_TurnClockwise,1772212330096013800,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,170,false,1772212379541557000,1772212330100421100,Unity.Received,1772212330100421100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,170,false,1772212379541557000,1772212330100421100,StackCylinder.DO_Extend,1772212330100421100,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,186,false,1772212379631562600,1772212330216746600,Unity.Received,1772212330216746600,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,203,false,1772212379741561900,1772212330301475300,Unity.Received,1772212330301475300,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,220,true,1772212379831269100,1772212330423054800,Unity.Received,1772212330423054800,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,220,true,1772212379831269100,1772212330423054800,StackCylinder.DI_Retracted,1772212330426103300,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,487,true,1772212381681012800,1772212332269071300,Unity.Received,1772212332269071300,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,487,true,1772212381681012800,1772212332269071300,RotCrane.DI_AtStack,1772212332269600800,Reached
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,490,false,1772212381691012800,1772212332269600800,Unity.Received,1772212332269600800,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,490,false,1772212381691012800,1772212332269600800,RotCrane.Motor.DO_TurnClockwise,1772212332269600800,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,496,true,1772212381731096400,1772212332307521400,Unity.Received,1772212332307521400,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,496,true,1772212381731096400,1772212332307521400,RotCraneCylinder.DO_Extend,1772212332307521400,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,513,false,1772212382011096200,1772212332592474100,Unity.Received,1772212332592474100,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,555,true,1772212382531096500,1772212333097219800,Unity.Received,1772212333097219800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,555,true,1772212382531096500,1772212333097219800,RotCraneCylinder.DI_Extended,1772212333098226300,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,627,true,1772212383281686300,1772212333831706400,Unity.Received,1772212333831706400,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,627,true,1772212383281686300,1772212333831706400,RotCraneVacuumCup.DI_TakenIn,1772212333831706400,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,648,false,1772212383561685500,1772212334116335200,Unity.Received,1772212334116335200,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,648,false,1772212383561685500,1772212334116335200,RotCraneCylinder.DO_Extend,1772212334116335200,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,662,false,1772212383681681800,1772212334240646500,Unity.Received,1772212334240646500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,694,true,1772212384000680200,1772212334565207900,Unity.Received,1772212334565207900,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,694,true,1772212384000680200,1772212334565207900,RotCraneCylinder.DI_Retracted,1772212334565207900,Reached
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,698,true,1772212384030685900,1772212334609407100,Unity.Received,1772212334609407100,Received
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,698,true,1772212384030685900,1772212334609407100,RotCrane.Motor.DO_TurnCounterclockwise,1772212334609407100,ActionStart
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,730,false,1772212384240684000,1772212334814621700,Unity.Received,1772212334814621700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,830,true,1772212384890703300,1772212335473107300,Unity.Received,1772212335473107300,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,830,true,1772212384890703300,1772212335473107300,StackCylinder.DO_Extend,1772212335473107300,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,843,false,1772212384960699700,1772212335515599200,Unity.Received,1772212335515599200,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,885,true,1772212385180705900,1772212335762186700,Unity.Received,1772212335762186700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,888,false,1772212385190706000,1772212335762186700,Unity.Received,1772212335762186700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,888,false,1772212385190706000,1772212335762186700,StackCylinder.DO_Extend,1772212335762186700,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,903,false,1772212385280702900,1772212335852273400,Unity.Received,1772212335852273400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,936,true,1772212385480702500,1772212336058063100,Unity.Received,1772212336058063100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,936,true,1772212385480702500,1772212336058063100,StackCylinder.DI_Retracted,1772212336355116000,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1035,true,1772212386110270500,1772212336672888900,Unity.Received,1772212336672888900,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1035,true,1772212386110270500,1772212336672888900,RotCrane.DI_AtConveyor,1772212336672888900,Reached
