var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,141,true,1772210287920469500,1772210238432585800,Unity.Received,1772210238432585800,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,141,true,1772210287920469500,1772210238432585800,StackCylinder.DO_Extend,1772210238434098400,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,149,false,1772210287980470900,1772210238512952000,Unity.Received,1772210238512952000,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,175,true,1772210288200469800,1772210238722637900,Unity.Received,1772210238722637900,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,176,true,1772210288210469500,1772210238722637900,Unity.Received,1772210238722637900,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,176,true,1772210288210469500,1772210238722637900,RotCrane.Motor.DO_TurnClockwise,1772210238722637900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,178,false,1772210288210469500,1772210238722637900,Unity.Received,1772210238722637900,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,178,false,1772210288210469500,1772210238722637900,StackCylinder.DO_Extend,1772210238722637900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,194,false,1772210288300473500,1772210238814678800,Unity.Received,1772210238814678800,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,216,false,1772210288420474900,1772210238934744300,Unity.Received,1772210238934744300,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,230,true,1772210288500470100,1772210239016865700,Unity.Received,1772210239016865700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,230,true,1772210288500470100,1772210239016865700,StackCylinder.DI_Retracted,1772210239313104000,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,515,true,1772210290410275100,1772210240934649800,Unity.Received,1772210240934649800,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,515,true,1772210290410275100,1772210240934649800,RotCrane.DI_AtStack,1772210240935192900,Reached
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,517,false,1772210290420275200,1772210240935192900,Unity.Received,1772210240935192900,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,517,false,1772210290420275200,1772210240935192900,RotCrane.Motor.DO_TurnClockwise,1772210240935192900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,525,true,1772210290460274600,1772210240979919800,Unity.Received,1772210240979919800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,525,true,1772210290460274600,1772210240979919800,RotCraneCylinder.DO_Extend,1772210240980929700,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,547,false,1772210290740385900,1772210241262016900,Unity.Received,1772210241262016900,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,579,true,1772210291260936300,1772210241774860100,Unity.Received,1772210241774860100,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,579,true,1772210291260936300,1772210241774860100,RotCraneCylinder.DI_Extended,1772210241774860100,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,652,true,1772210292010240500,1772210242511603900,Unity.Received,1772210242511603900,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,652,true,1772210292010240500,1772210242511603900,RotCraneVacuumCup.DI_TakenIn,1772210242511603900,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,680,false,1772210292289246600,1772210242801061400,Unity.Received,1772210242801061400,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,680,false,1772210292289246600,1772210242801061400,RotCraneCylinder.DO_Extend,1772210242801061400,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,690,false,1772210292409238500,1772210242928166700,Unity.Received,1772210242928166700,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,727,true,1772210292719243700,1772210243256256500,Unity.Received,1772210243256256500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,727,true,1772210292719243700,1772210243256256500,RotCraneCylinder.DI_Retracted,1772210243256256500,Reached
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,732,true,1772210292759241000,1772210243296578100,Unity.Received,1772210243296578100,Received
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,732,true,1772210292759241000,1772210243296578100,RotCrane.Motor.DO_TurnCounterclockwise,1772210243296578100,ActionStart
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,757,false,1772210292929238700,1772210243458707600,Unity.Received,1772210243458707600,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,859,true,1772210293619990600,1772210244155157900,Unity.Received,1772210244155157900,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,859,true,1772210293619990600,1772210244155157900,StackCylinder.DO_Extend,1772210244155157900,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,871,false,1772210293689991200,1772210244196916800,Unity.Received,1772210244196916800,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,908,true,1772210293909991100,1772210244439144800,Unity.Received,1772210244439144800,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,910,false,1772210293919989600,1772210244439954400,Unity.Received,1772210244439954400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DO_Extend,910,false,1772210293919989600,1772210244439954400,StackCylinder.DO_Extend,1772210244439954400,ActionStart
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,925,false,1772210294009991700,1772210244524063900,Unity.Received,1772210244524063900,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,956,true,1772210294209995800,1772210244729286400,Unity.Received,1772210244729286400,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,956,true,1772210294209995800,1772210244729286400,StackCylinder.DI_Retracted,1772210245028188400,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1053,true,1772210294879950700,1772210245381941900,Unity.Received,1772210245381941900,Received
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1053,true,1772210294879950700,1772210245381941900,RotCrane.DI_AtConveyor,1772210245381941900,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,1088,false,1772210295079950700,1772210245585402400,Unity.Received,1772210245585402400,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,1342,true,1772210296849657300,1772210247382977000,Unity.Received,1772210247382977000,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStamp.DI_WPDetected,1342,true,1772210296849657300,1772210247382977000,RotCrane.DI_AtStamp,1772210247382977000,Reached
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,1344,false,1772210296859659400,1772210247386609900,Unity.Received,1772210247386609900,Received
MAIN.m_container.m_crane.Motor.DO_TurnCounterclockwise,1344,false,1772210296859659400,1772210247386609900,RotCrane.Motor.DO_TurnCounterclockwise,1772210247386609900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1351,true,1772210296899658100,1772210247425488000,Unity.Received,1772210247425488000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1351,true,1772210296899658100,1772210247425488000,RotCraneCylinder.DO_Extend,1772210247425488000,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,1373,false,1772210297189657200,1772210247716529800,Unity.Received,1772210247716529800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1398,true,1772210297689425100,1772210248202388500,Unity.Received,1772210248202388500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1398,true,1772210297689425100,1772210248202388500,RotCraneCylinder.DI_Extended,1772210248202388500,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,1405,false,1772210297769426900,1772210248280786000,Unity.Received,1772210248280786000,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,1405,false,1772210297769426900,1772210248280786000,RotCraneVacuumCup.DI_TakenIn,1772210248280786000,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1410,false,1772210297819428700,1772210248324428900,Unity.Received,1772210248324428900,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1410,false,1772210297819428700,1772210248324428900,RotCraneCylinder.DO_Extend,1772210248324428900,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1423,false,1772210297939431100,1772210248444406200,Unity.Received,1772210248444406200,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,1436,false,1772210298069431100,1772210248616613000,Unity.Received,1772210248616613000,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,1437,true,1772210298070434100,1772210248616613000,Unity.Received,1772210248616613000,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,1437,true,1772210298070434100,1772210248616613000,StampSlidingCylinder.DO_Retract,1772210248616613000,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,1446,true,1772210298249431300,1772210248773486200,Unity.Received,1772210248773486200,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,1450,false,1772210298260431800,1772210248773486200,Unity.Received,1772210248773486200,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,1446,true,1772210298249431300,1772210248773486200,RotCraneCylinder.DI_Retracted,1772210248773486200,Reached
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,1494,true,1772210298818908400,1772210249332811800,Unity.Received,1772210249332811800,Received
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,1496,true,1772210298818908400,1772210249332811800,Unity.Received,1772210249332811800,Received
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,1496,true,1772210298818908400,1772210249332811800,StampCylinder.DO_Extend,1772210249332811800,ActionStart
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,1609,false,1772210300329705500,1772210250857338800,Unity.Received,1772210250857338800,Received
MAIN.m_container.m_stamp.m_stampingCylinder.DO_Extend,1609,false,1772210300329705500,1772210250857338800,StampCylinder.DO_Extend,1772210250857338800,ActionStart
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,1610,true,1772210300339704100,1772210250857338800,Unity.Received,1772210250857338800,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Extend,1610,true,1772210300339704100,1772210250857338800,StampSlidingCylinder.DO_Extend,1772210250857338800,ActionStart
MAIN.m_container.m_stamp.m_slidingCylinder.DO_Retract,1611,false,1772210300339704100,1772210250857338800,Unity.Received,1772210250857338800,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Retracted,1621,false,1772210300449707400,1772210250981639300,Unity.Received,1772210250981639300,Received
MAIN.m_container.m_stamp.m_slidingCylinder.DI_Extended,1648,true,1772210300969706600,1772210251491641800,Unity.Received,1772210251491641800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1650,true,1772210301049703900,1772210251553007000,Unity.Received,1772210251553007000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,1650,true,1772210301049703900,1772210251553007000,RotCraneCylinder.DO_Extend,1772210251553007000,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,1673,false,1772210301309702300,1772210251834765800,Unity.Received,1772210251834765800,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1711,true,1772210301829573600,1772210252337058200,Unity.Received,1772210252337058200,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,1711,true,1772210301829573600,1772210252337058200,RotCraneCylinder.DI_Extended,1772210252337058200,Reached
