var_name,seq,value,t0_ns,unity_recv_ns,unity_event,unity_time_ns,kind
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,137,true,1772210971009905100,1772210921565304200,Unity.Received,1772210921565304200,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Retracted,142,false,1772210971069902100,1772210921610439700,Unity.Received,1772210921610439700,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,174,true,1772210971289905100,1772210921817950500,Unity.Received,1772210921817950500,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,175,true,1772210971299908800,1772210921853136500,Unity.Received,1772210921853136500,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,175,true,1772210971299908800,1772210921853136500,RotCrane.Motor.DO_TurnClockwise,1772210921853136500,ActionStart
MAIN.m_container.m_crane.m_PresenceSensorAtConveyor.DI_WPDetected,204,false,1772210971499904300,1772210922021164100,Unity.Received,1772210922021164100,Received
MAIN.m_container.m_stack.o_slidingCylinder.DI_Extended,174,true,1772210971289905100,1772210921817950500,StackCylinder.DI_Extended,1772210922288444100,Reached
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,486,true,1772210973448152100,1772210923979352300,Unity.Received,1772210923979352300,Received
MAIN.m_container.m_crane.m_PresenceSensorAtStack.DI_WPDetected,486,true,1772210973448152100,1772210923979352300,RotCrane.DI_AtStack,1772210923979957300,Reached
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,489,false,1772210973459151700,1772210923979957300,Unity.Received,1772210923979957300,Received
MAIN.m_container.m_crane.Motor.DO_TurnClockwise,489,false,1772210973459151700,1772210923979957300,RotCrane.Motor.DO_TurnClockwise,1772210923979957300,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,494,true,1772210973499155000,1772210924045902300,Unity.Received,1772210924045902300,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,494,true,1772210973499155000,1772210924045902300,RotCraneCylinder.DO_Extend,1772210924045902300,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,522,false,1772210973768698900,1772210924292292900,Unity.Received,1772210924292292900,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,560,true,1772210974288381500,1772210924841544500,Unity.Received,1772210924841544500,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,560,true,1772210974288381500,1772210924841544500,RotCraneCylinder.DI_Extended,1772210924841544500,Reached
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,632,true,1772210975048381300,1772210925583722300,Unity.Received,1772210925583722300,Received
MAIN.m_container.m_crane.o_VacuumGripper.DI_TakenIn,632,true,1772210975048381300,1772210925583722300,RotCraneVacuumCup.DI_TakenIn,1772210925583722300,Reached
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,655,false,1772210975328963400,1772210925845444000,Unity.Received,1772210925845444000,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DO_Extend,655,false,1772210975328963400,1772210925845444000,RotCraneCylinder.DO_Extend,1772210925845444000,ActionStart
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Extended,669,false,1772210975448968400,1772210925970873200,Unity.Received,1772210925970873200,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,709,true,1772210975768963200,1772210926296754700,Unity.Received,1772210926296754700,Received
MAIN.m_container.m_crane.o_MonostableCylinder.DI_Retracted,709,true,1772210975768963200,1772210926296754700,RotCraneCylinder.DI_Retracted,1772210926296754700,Reached
