typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
Property,craneACT_AutomaticExecuteANDlargeSortingConveyorACT_AutomaticExecuteANDstackACT_AutomaticExecuteANDstampACT_AutomaticExecute,,,,,,_g2uxcLcYEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_g2uxcLcYEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,StateDiagram_PPU_ACT_Init,,,,,,_TZ6bsCZ4EeagIsaxH253Xw,
SubmodelElementCollection,Transition_PseudostateTo,,,,,,_WKieUCZ6EeagIsaxH253Xw,
ReferenceElement,PseudostateTo,_ZifjgCZ4EeagIsaxH253Xw,,,,,_WKieUCZ6EeagIsaxH253Xw,
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToStackInit,,,,,,_tnEaMCZ6EeagIsaxH253Xw,
ReferenceElement,ToStackInit,_NMNRYCZ6EeagIsaxH253Xw,,,,,_tnEaMCZ6EeagIsaxH253Xw,
Property,conveyorPicAlphaInitialized,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToStamp_Init,,,,,,_yI_tQCZ6EeagIsaxH253Xw,
ReferenceElement,ToStamp_Init,_GQMhgCZ6EeagIsaxH253Xw,,,,,_yI_tQCZ6EeagIsaxH253Xw,
Property,refillConveyorInitialized,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_LargeSortingConveyorInitToStackInit,,,,,,_5WGNICZ6EeagIsaxH253Xw,
RelationshipElement,LargeSortingConveyorInitToStackInit,_4k85gCZ5EeagIsaxH253Xw,,,,,_5WGNICZ6EeagIsaxH253Xw,_NMNRYCZ6EeagIsaxH253Xw
Property,largeSortingConveyorInitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Stamp_InitToCrane_Init,,,,,,_-11MQCZ6EeagIsaxH253Xw,
RelationshipElement,Stamp_InitToCrane_Init,_GQMhgCZ6EeagIsaxH253Xw,,,,,_-11MQCZ6EeagIsaxH253Xw,_ArsXICZ6EeagIsaxH253Xw
Property,stampInitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Crane_InitToLargeSortingConveyorInit,,,,,,_DiMNsCZ7EeagIsaxH253Xw,
RelationshipElement,Crane_InitToLargeSortingConveyorInit,_ArsXICZ6EeagIsaxH253Xw,,,,,_DiMNsCZ7EeagIsaxH253Xw,_4k85gCZ5EeagIsaxH253Xw
Property,craneInitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_StackInitToInit_Completed,,,,,,_H4VukCZ7EeagIsaxH253Xw,
RelationshipElement,StackInitToInit_Completed,_NMNRYCZ6EeagIsaxH253Xw,,,,,_H4VukCZ7EeagIsaxH253Xw,_DjY9wLcZEeaSbZaN2J4zjw
Property,stackInitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Reset_InitToPseudostate,,,,,,_plwosGV3Eeab9L8V4_TyWg,
RelationshipElement,Reset_InitToPseudostate,_uZGVUNgJEeaLleG51tH3Eg,,,,,_plwosGV3Eeab9L8V4_TyWg,_HxvYkNgKEeaLleG51tH3Eg
Property,NOTInitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToFinalState,,,,,,_MR9QYLcZEeaSbZaN2J4zjw,
RelationshipElement,PseudostateToFinalState,_d2jeINgLEeaLleG51tH3Eg,,,,,_MR9QYLcZEeaSbZaN2J4zjw,_TpHqcCZ6EeagIsaxH253Xw
Property,InitCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToReset_Init,,,,,,_12mBoNgJEeaLleG51tH3Eg,
RelationshipElement,PseudostateToReset_Init,_ZifjgCZ4EeagIsaxH253Xw,,,,,_12mBoNgJEeaLleG51tH3Eg,_uZGVUNgJEeaLleG51tH3Eg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToStamp_Init,,,,,,_QdnjkNgKEeaLleG51tH3Eg,
RelationshipElement,PseudostateToStamp_Init,_HxvYkNgKEeaLleG51tH3Eg,,,,,_QdnjkNgKEeaLleG51tH3Eg,_GQMhgCZ6EeagIsaxH253Xw
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToEmergencyChecking,,,,,,_dlTykNgKEeaLleG51tH3Eg,
RelationshipElement,PseudostateToEmergencyChecking,_HxvYkNgKEeaLleG51tH3Eg,,,,,_dlTykNgKEeaLleG51tH3Eg,_RmIDwNgKEeaLleG51tH3Eg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Init_CompletedToPseudostate,,,,,,_97YskNgLEeaLleG51tH3Eg,
RelationshipElement,Init_CompletedToPseudostate,_DjY9wLcZEeaSbZaN2J4zjw,,,,,_97YskNgLEeaLleG51tH3Eg,_d2jeINgLEeaLleG51tH3Eg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_EmergencyCheckingToPseudostate,,,,,,_-44PkNgLEeaLleG51tH3Eg,
RelationshipElement,EmergencyCheckingToPseudostate,_RmIDwNgKEeaLleG51tH3Eg,,,,,_-44PkNgLEeaLleG51tH3Eg,_d2jeINgLEeaLleG51tH3Eg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Pseudostate,,,,,,_ZifjgCZ4EeagIsaxH253Xw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_LargeSortingConveyorInit,,,,,,_4k85gCZ5EeagIsaxH253Xw,
SubmodelElementCollection,doActivities,,,,,,,
Property,largeSortingConveyorACT_Init,,,,,,_kHx2ALcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_kHx2ALcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Crane_Init,,,,,,_ArsXICZ6EeagIsaxH253Xw,
SubmodelElementCollection,doActivities,,,,,,,
Property,craneACT_Init,,,,,,_mdBPELcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_mdBPELcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Stamp_Init,,,,,,_GQMhgCZ6EeagIsaxH253Xw,
SubmodelElementCollection,doActivities,,,,,,,
Property,stampACT_Init,,,,,,_VkgZ0LcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_VkgZ0LcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_StackInit,,,,,,_NMNRYCZ6EeagIsaxH253Xw,
SubmodelElementCollection,doActivities,,,,,,,
Property,stackACT_Init,,,,,,_g9z0YLcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_g9z0YLcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,FinalState,,,,,,_TpHqcCZ6EeagIsaxH253Xw,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,State_Init_Completed,,,,,,_DjY9wLcZEeaSbZaN2J4zjw,
SubmodelElementCollection,doActivities,,,,,,,
Property,NowInitCompleted,,,,,,_KQM0ALcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_KQM0ALcZEeaSbZaN2J4zjw,
End-SubmodelElementCollection,,,,,,,,
