typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
Property,Check_PicAlphaConveyor_AllowedToInit,LargeSortingConveyor_FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_PicAlphaConveyor_AllowedToReceive,LargeSortingConveyor_FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_PicAlphaConveyor_AllowedToSend,LargeSortingConveyor_NumberOfWPsAtConveyor=3,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_PicAlphaConveyor_FollowConveyor_InitCompleted,SmallSortingConveyor_InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_PicAlphaConveyor_FollowConveyor_AutomaticExecuteCompleted,SmallSortingConveyor_AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PicALphaConveyor_InitCompleted,PPU.PicALphaConveyor.InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PicALphaConveyor_FollowConveyor_AllowedToInit,PPU.PicALphaConveyor.FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PicALphaConveyor_FollowConveyor_AllowedToOperate,PPU.PicALphaConveyor.FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PicALphaConveyor_AutomaticExecuteReceivingCompleted,PPU.PicALphaConveyor.AutomaticExecuteReceivingCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,PicALphaConveyor_AutomaticExecuteSendingCompleted,PPU.PicALphaConveyor.AutomaticExecuteSendingCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_SmallSortingConveyor_AllowedToInit,PicALphaConveyor_FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_SmallSortingConveyor_AllowedToOperate,PicALphaConveyor_FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_SmallSortingConveyor_FollowConveyor_InitCompleted,RefillConveyor_InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_SmallSortingConveyor_FollowConveyor_AutomaticExecuteCompleted,RefillConveyor_AutomaticExecuteReceivingCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,SmallSortingConveyor_InitCompleted,PPU.SmallSortingConveyor.InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,SmallSortingConveyor_FollowConveyor_AllowedToInit,PPU.SmallSortingConveyor.FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,SmallSortingConveyor_FollowConveyor_AllowedToOperate,PPU.SmallSortingConveyor.FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,SmallSortingConveyor_AutomaticExecuteCompleted,PPU.SmallSortingConveyor.AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,SmallSortingConveyor_IsSorting,PPU.SmallSortingConveyor.IsSorting,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_AllowedToInit,SmallSortingConveyor_FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_AllowedToReceive,SmallSortingConveyor_FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_AllowedToSend,NOT Crane_WPPickedUp AND NOT LargeSortingConveyor_IsSorting AND NOT Check_LargeSortingConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_FollowConveyor_InitCompleted,LargeSortingConveyor_InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,Check_RefillConveyor_FollowConveyor_AutomaticExecuteCompleted,LargeSortingConveyor_AutomaticExecuteCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_InitCompleted,PPU.RefillConveyor.InitCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_FollowConveyor_AllowedToInit,PPU.RefillConveyor.FollowConveyor_AllowedToInit,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_FollowConveyor_AllowedToOperate,PPU.RefillConveyor.FollowConveyor_AllowedToOperate,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_AutomaticExecuteReceivingCompleted,PPU.RefillConveyor.AutomaticExecuteReceivingCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_IsSending,PPU.RefillConveyor.IsSending,,,,,_HN2AENi0EeaI3IcGROryBQ,
Property,RefillConveyor_AutomaticExecuteSendingCompleted,PPU.RefillConveyor.AutomaticExecuteSendingCompleted,,,,,_HN2AENi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
Property,xmitype,OpaqueBehavior,,,,,_HN2AENi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,FinalState,,,,,,_UHDuMNi0EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,PPU,,,,,,_2ub-IBHQEeaen93uATCTQQ,
SubmodelElementCollection,StateDiagram_PPU_ACT_AutomaticExecute,,,,,,_MqflwBHREeaen93uATCTQQ,
SubmodelElementCollection,Transition_PseudostateTo,,,,,,_mdtwEBzxEeaHnYHMiM-I7Q,
ReferenceElement,PseudostateTo,__3w-ABzwEeaHnYHMiM-I7Q,,,,,_mdtwEBzxEeaHnYHMiM-I7Q,
Property,notstackDI_WPAvailable,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToPseudostate,,,,,,_B8KMwBzzEeaHnYHMiM-I7Q,
ReferenceElement,ToPseudostate,__3w-ABzwEeaHnYHMiM-I7Q,,,,,_B8KMwBzzEeaHnYHMiM-I7Q,
Property,stackseperatorDI_Retracted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_PseudostateToCall_All,,,,,,_91Ek4EmPEea0ovNLUKsTWw,
RelationshipElement,PseudostateToCall_All,__3w-ABzwEeaHnYHMiM-I7Q,,,,,_91Ek4EmPEea0ovNLUKsTWw,_HmjigEmPEea0ovNLUKsTWw
Property,NotAutomaticExecuteCompleted,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_ToCall_All,,,,,,_JaJKkEmQEea0ovNLUKsTWw,
ReferenceElement,ToCall_All,_HmjigEmPEea0ovNLUKsTWw,,,,,_JaJKkEmQEea0ovNLUKsTWw,
Property,true,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Transition_Call_AllToPseudostate,,,,,,_e7t-IGVGEeaSMugellPalg,
